*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2014 306    33   11.96   5.41    0.31  10.70   6.33   6.27   4.46   4.44   4.43   4.39  16.53  11.46
 2014 307    34   12.52   5.59    0.32  11.34   6.43   6.37   4.47   4.44   5.55   5.50  19.67  13.82
 2014 308    35   13.22   5.35    0.31  12.31   6.49   6.42   4.47   4.44   5.78   5.72  23.47  18.18
 2014 309    36   13.86   5.49    0.32  12.91   6.47   6.40   4.46   4.43   5.60   5.53  25.43  21.30
 2014 310    37   14.86   5.15    0.31  14.26   6.38   6.30   4.45   4.42   5.43   5.36  26.39  22.02
 2014 311    38   15.30   6.63    0.38  13.97   6.28   6.20   4.45   4.41   5.62   5.55  23.16  18.42
 2014 312    39   16.51   5.54    0.34  16.06   6.28   6.20   4.45   4.42   5.68   5.60  22.48  17.44
 2014 313    40   17.76   3.75    0.24  17.76   6.27   6.18   4.44   4.41   5.51   5.43  18.59  16.35
 2014 314    41   17.17   7.75    0.44  15.50   6.21   6.12   4.42   4.38   5.61   5.52  22.50  18.38
 2014 315    42   17.95   8.19    0.46  16.18   6.21   6.11   4.45   4.41   5.66   5.56  21.97  17.83
 2014 316    43   18.75   8.68    0.49  16.80   6.22   6.12   4.45   4.40   5.59   5.49  22.89  17.42
 2014 317    44   19.47   8.51    0.49  17.59   6.26   6.15   4.45   4.41   5.45   5.34  23.42  16.66
 2014 318    45   21.16   5.65    0.36  21.02   6.30   6.18   4.46   4.41   5.74   5.62  19.35  15.56
 2014 319    46   20.66   9.03    0.53  18.77   6.28   6.16   4.44   4.39   5.75   5.62  20.94  15.62
 2014 320    47   21.35   8.46    0.49  19.78   6.31   6.18   4.46   4.40   5.51   5.39  24.87  19.63
 2014 321    48   23.16   4.91    0.31  23.12   6.30   6.16   4.45   4.39   5.43   5.30  25.67  21.61
 2014 322    49   23.71   3.14    0.20  23.71   6.23   6.09   4.43   4.37   4.63   4.52  16.78  12.08
 2014 323    50   23.15   7.77    0.49  22.24   6.21   6.07   4.43   4.37   3.37   3.28  13.60   9.28
 2014 324    51   23.42   8.77    0.54  22.08   6.29   6.14   4.45   4.39   4.46   4.35  16.21  11.59
 2014 325    52   24.11   8.33    0.52  23.25   6.34   6.19   4.46   4.39   5.88   5.72  20.77  16.42
 2014 326    53   25.46   5.62    0.36  25.41   6.33   6.17   4.45   4.38   5.75   5.59  22.19  20.03
 2014 327    54   25.13   7.94    0.49  24.28   6.25   6.08   4.42   4.36   5.22   5.07  27.44  24.54
 2014 328    55   25.82   7.97    0.50  25.04   6.19   6.02   4.43   4.36   5.18   5.03  27.42  24.65
 2014 329    56   27.32   3.75    0.25  27.32   6.14   5.96   4.43   4.36   5.31   5.14  25.38  23.06
 2014 330    57   27.79   5.40    0.35  27.79   6.08   5.90   4.40   4.33   5.42   5.24  19.12  14.58
 2014 331    58   27.01  11.31    0.68  24.57   6.07   5.89   4.42   4.34   4.77   4.62  17.78  12.71
 2014 332    59   27.58  11.08    0.67  25.06   6.13   5.94   4.44   4.36   3.58   3.46  13.84   9.84
 2014 333    60   28.01  11.69    0.71  25.63   6.24   6.04   4.45   4.37   5.35   5.17  19.11  13.77
 2014 334    61   28.52  11.28    0.68  26.47   6.28   6.08   4.45   4.37   5.70   5.50  22.29  17.42
 2014 335    62   29.30  10.25    0.64  27.96   6.29   6.08   4.45   4.36   5.65   5.45  22.91  18.88
 2014 336    63   30.53   8.74    0.56  30.06   6.26   6.04   4.45   4.35   5.65   5.43  22.63  19.95
 2014 337    64   30.76   9.91    0.63  29.76   6.19   5.96   4.44   4.34   5.49   5.27  23.70  20.48
 2014 338    65   31.02  11.43    0.70  29.14   6.13   5.89   4.44   4.34   5.39   5.16  24.36  20.44
 2014 339    66   31.90  10.87    0.68  30.52   6.10   5.85   4.44   4.34   5.40   5.16  23.90  20.85
 2014 340    67   32.47  11.17    0.69  30.84   6.04   5.79   4.44   4.33   5.17   4.94  26.01  22.20
 2014 341    68   34.50   7.15    0.47  34.44   6.00   5.74   4.44   4.33   5.51   5.24  21.41  18.23
 2014 342    69   35.02   4.25    0.28  35.02   5.97   5.70   4.42   4.31   4.87   4.63  17.13  15.25
 2014 343    70   33.87  12.95    0.80  31.83   5.95   5.69   4.41   4.30   4.60   4.37  16.21  13.20
 2014 344    71   34.23  13.26    0.83  31.57   6.01   5.74   4.46   4.34   3.78   3.59  15.41  10.49
 2014 345    72   34.62  13.19    0.83  32.03   6.09   5.80   4.47   4.35   3.68   3.49  14.97  10.16
 2014 346    73   36.68   7.41    0.49  36.66   6.16   5.87   4.48   4.35   3.39   3.21  12.30   9.59
 2014 347    74   35.21  13.97    0.88  32.51   6.19   5.89   4.48   4.35   4.26   4.04  16.85  11.37
 2014 348    75   35.57  13.86    0.89  32.88   6.25   5.94   4.49   4.36   4.24   4.02  17.27  11.36
 2014 349    76   35.93  13.45    0.89  33.24   6.30   5.98   4.49   4.36   4.13   3.91  18.14  11.39
 2014 350    77   36.30  14.09    0.89  33.92   6.34   6.01   4.50   4.36   5.23   4.95  19.25  13.30
 2014 351    78   37.08  12.93    0.83  35.56   6.37   6.04   4.50   4.36   5.87   5.54  20.27  15.16
 2014 352    79   36.98  14.59    0.92  34.48   6.38   6.04   4.50   4.36   4.67   4.41  17.24  11.93
 2014 353    80   37.38  14.80    0.93  35.01   6.42   6.07   4.51   4.36   5.88   5.54  20.09  14.84
 2014 354    81   37.74  14.61    0.90  35.44   6.44   6.08   4.51   4.36   5.79   5.44  22.95  17.81
 2014 355    82   39.77  10.00    0.66  39.47   6.44   6.07   4.51   4.35   5.73   5.38  23.62  19.55
 2014 356    83   40.19   9.67    0.64  39.92   6.42   6.05   4.49   4.34   5.57   5.22  25.24  22.30
 2014 357    84   40.32  10.58    0.69  39.85   6.38   6.00   4.49   4.33   5.45   5.10  26.24  23.13
 2014 358    85   41.36   8.30    0.55  41.28   6.34   5.96   4.48   4.32   5.49   5.13  25.36  22.29
 2014 359    86   41.56  10.38    0.69  41.34   6.31   5.92   4.47   4.31   5.19   4.84  17.25  14.65
 2014 360    87   41.89  10.22    0.68  41.68   6.31   5.92   4.48   4.32   5.70   5.31  19.14  15.40
 2014 361    88   41.27  12.40    0.80  40.37   6.31   5.92   4.48   4.31   5.54   5.17  24.47  21.10
 2014 362    89   40.76  14.41    0.90  38.89   6.29   5.89   4.47   4.31   5.51   5.12  24.61  20.50
 2014 363    90   41.41  13.86    0.88  39.95   6.28   5.87   4.48   4.31   5.54   5.15  24.13  20.05
 2014 364    91   43.41   4.34    0.29  43.41   6.27   5.86   4.47   4.30   5.87   5.45  20.04  18.67
 2014 365    92   43.68   5.59    0.38  43.68   6.25   5.85   4.45   4.28   5.29   4.91  17.81  16.70
 2015 001    93   43.89   5.62    0.38  43.89   6.24   5.84   4.45   4.28   5.28   4.90  17.81  16.70

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:44

*RUN   2        : Radiance                  CRGRO048 UFBA1601    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1601 SR 2016 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2016 274     1    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  29.21  26.02
 2016 275     2    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.06  26.16
 2016 276     3    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  31.03  26.89
 2016 277     4    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.14  25.45
 2016 278     5    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.25  27.00
 2016 279     6    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.56  27.13
 2016 280     7    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  29.06  26.44
 2016 281     8    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  26.03  24.91
 2016 282     9    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.80  25.70
 2016 283    10    0.31   0.16    0.01   0.27   7.29   7.27   4.59   4.58   6.05   6.03  28.27  24.16
 2016 284    11    3.73   1.72    0.09   3.41   7.27   7.25   4.58   4.57   6.29   6.27  25.76  21.82
 2016 285    12    4.45   1.42    0.08   4.38   7.25   7.23   4.57   4.56   6.26   6.24  25.89  22.79
 2016 286    13    4.25   1.66    0.09   4.02   7.22   7.21   4.55   4.55   6.09   6.07  27.40  23.96
 2016 287    14    4.19   1.77    0.10   3.85   7.20   7.18   4.54   4.53   5.97   5.96  28.33  24.96
 2016 288    15    4.24   1.88    0.10   3.83   7.19   7.17   4.53   4.52   6.03   6.02  27.61  24.42
 2016 289    16    5.00   1.40    0.08   4.94   7.17   7.15   4.52   4.51   5.94   5.93  28.37  25.11
 2016 290    17    4.83   1.67    0.10   4.62   7.15   7.13   4.51   4.50   5.94   5.93  28.19  24.80
 2016 291    18    4.67   1.89    0.10   4.24   7.12   7.10   4.50   4.49   5.89   5.87  28.52  24.81
 2016 292    19    5.06   1.76    0.10   4.80   7.07   7.05   4.49   4.48   5.88   5.86  28.23  24.18
 2016 293    20    5.22   2.10    0.11   4.75   6.90   6.88   4.48   4.47   5.79   5.77  27.62  23.57
 2016 294    21    5.66   2.26    0.12   5.17   6.74   6.72   4.48   4.47   5.69   5.67  27.36  23.05
 2016 295    22    6.24   2.38    0.13   5.74   6.61   6.59   4.48   4.47   5.64   5.62  26.59  22.35
 2016 296    23    6.46   3.12    0.17   5.61   6.49   6.46   4.47   4.46   5.94   5.91  21.97  17.52
 2016 297    24    6.94   3.24    0.18   6.06   6.50   6.47   4.47   4.46   5.78   5.76  21.90  15.70
 2016 298    25    7.41   3.40    0.18   6.52   6.54   6.51   4.48   4.47   5.83   5.80  23.79  19.03
 2016 299    26    8.06   3.30    0.18   7.34   6.52   6.48   4.47   4.45   5.74   5.71  24.59  20.05
 2016 300    27    8.58   3.68    0.20   7.55   6.46   6.42   4.46   4.45   5.53   5.50  26.38  22.18
 2016 301    28    9.52   3.41    0.20   8.92   6.36   6.32   4.46   4.44   5.44   5.40  26.42  22.67
 2016 302    29   10.27   3.58    0.21   9.64   6.24   6.19   4.46   4.44   5.34   5.30  26.44  23.28
 2016 303    30   11.07   3.65    0.22  10.74   6.12   6.07   4.45   4.43   5.21   5.17  26.70  23.30
 2016 304    31   11.56   4.21    0.24  10.94   6.01   5.96   4.45   4.43   5.05   5.01  27.52  23.65
 2016 305    32   12.09   5.19    0.29  10.98   5.93   5.87   4.45   4.43   5.05   5.00  26.68  22.57
 2016 306    33   12.99   5.05    0.29  12.14   5.88   5.82   4.45   4.43   5.06   5.00  26.12  21.40
 2016 307    34   14.09   4.47    0.27  13.73   5.85   5.79   4.45   4.42   4.96   4.90  27.06  22.96
 2016 308    35   14.56   5.18    0.30  13.88   5.78   5.71   4.44   4.41   4.96   4.90  26.23  22.61
 2016 309    36   15.28   5.56    0.32  14.49   5.72   5.64   4.44   4.41   4.90   4.83  26.34  21.69
 2016 310    37   15.84   6.49    0.37  14.56   5.69   5.61   4.44   4.41   4.93   4.86  25.62  22.00
 2016 311    38   16.75   6.56    0.38  15.58   5.65   5.56   4.44   4.41   4.89   4.81  25.74  21.65
 2016 312    39   18.05   5.86    0.36  17.58   5.62   5.53   4.44   4.40   4.98   4.89  24.27  20.42
 2016 313    40   18.31   7.29    0.42  16.94   5.59   5.49   4.44   4.39   4.86   4.77  25.36  21.18
 2016 314    41   19.44   6.73    0.40  18.64   5.58   5.47   4.44   4.40   4.84   4.75  25.48  21.16
 2016 315    42   19.89   8.43    0.48  18.13   5.56   5.44   4.44   4.39   4.92   4.82  24.17  19.69
 2016 316    43   20.71   8.51    0.49  19.06   5.59   5.47   4.44   4.39   4.99   4.88  23.64  18.79
 2016 317    44   21.48   8.72    0.50  19.77   5.63   5.50   4.44   4.39   4.95   4.84  24.60  19.17
 2016 318    45   22.29   8.52    0.50  20.83   5.67   5.53   4.44   4.39   4.96   4.83  25.03  19.16
 2016 319    46   24.22   4.23    0.27  24.22   5.70   5.56   4.44   4.38   5.27   5.13  21.25  19.32
 2016 320    47   24.47   6.83    0.43  24.23   5.63   5.48   4.41   4.35   5.29   5.14  20.00  16.65
 2016 321    48   24.11   9.56    0.56  22.39   5.63   5.48   4.43   4.37   5.13   4.99  22.19  17.32
 2016 322    49   24.79  10.47    0.61  22.57   5.67   5.51   4.44   4.37   5.15   5.00  22.40  16.89
 2016 323    50   25.45  10.21    0.60  23.48   5.73   5.56   4.44   4.38   5.11   4.96  23.70  18.86
 2016 324    51   26.14  10.11    0.60  24.40   5.75   5.58   4.44   4.37   5.17   5.01  23.17  18.48
 2016 325    52   26.76  11.62    0.68  24.33   5.77   5.59   4.44   4.37   4.71   4.56  17.47  13.29
 2016 326    53   27.36  10.86    0.67  24.98   5.85   5.66   4.45   4.38   4.03   3.89  17.46  11.46
 2016 327    54   27.88  11.33    0.69  25.55   5.92   5.73   4.46   4.38   4.94   4.77  20.28  13.68
 2016 328    55   28.86   9.64    0.60  27.86   5.98   5.78   4.47   4.38   5.31   5.12  24.01  18.11
 2016 329    56   29.30   9.91    0.61  28.15   5.99   5.78   4.46   4.37   5.24   5.05  25.02  20.31
 2016 330    57   29.60  10.94    0.66  27.82   5.97   5.76   4.45   4.36   5.17   4.98  25.60  21.36
 2016 331    58   30.69  10.14    0.63  29.67   5.94   5.72   4.45   4.36   5.30   5.09  23.74  19.57
 2016 332    59   31.03  11.19    0.69  29.53   5.92   5.69   4.45   4.35   5.39   5.17  22.34  17.19
 2016 333    60   32.43   9.22    0.59  31.99   5.94   5.70   4.45   4.36   5.38   5.15  22.71  18.34
 2016 334    61   32.06  11.34    0.69  30.37   5.93   5.68   4.45   4.34   5.09   4.87  26.19  21.96
 2016 335    62   33.89   8.45    0.55  33.62   5.90   5.65   4.45   4.34   5.15   4.91  25.15  22.16
 2016 336    63   33.78  10.48    0.66  32.82   5.84   5.58   4.44   4.33   5.05   4.81  25.80  22.41
 2016 337    64   33.85  13.03    0.79  31.74   5.80   5.54   4.44   4.33   5.30   5.04  22.04  18.08
 2016 338    65   34.44  13.19    0.80  32.26   5.81   5.54   4.44   4.33   5.25   4.98  22.92  17.66
 2016 339    66   35.00  12.91    0.78  32.87   5.84   5.56   4.45   4.33   5.04   4.78  25.92  21.46
 2016 340    67   36.46  10.34    0.66  35.75   5.83   5.54   4.44   4.32   4.93   4.66  27.17  23.12
 2016 341    68   37.83   5.72    0.38  37.83   5.80   5.50   4.44   4.31   5.05   4.77  25.25  21.97
 2016 342    69   36.60  13.67    0.84  34.48   5.76   5.46   4.42   4.29   5.22   4.92  22.70  19.18
 2016 343    70   38.16  11.13    0.72  37.58   5.76   5.45   4.45   4.32   5.40   5.09  19.92  16.61
 2016 344    71   38.95  10.15    0.67  38.68   5.76   5.45   4.44   4.31   4.30   4.05  15.51  13.13
 2016 345    72   37.86  14.44    0.90  35.59   5.79   5.48   4.45   4.32   5.37   5.05  20.02  14.98
 2016 346    73   39.37  11.00    0.72  38.83   5.83   5.51   4.46   4.32   5.28   4.96  22.82  18.24
 2016 347    74   39.42  11.65    0.75  38.54   5.83   5.50   4.45   4.31   5.08   4.77  25.26  21.38
 2016 348    75   39.27  13.30    0.83  37.50   5.80   5.47   4.45   4.31   5.01   4.69  25.90  21.45
 2016 349    76   39.86  13.34    0.84  38.25   5.79   5.45   4.45   4.31   5.11   4.78  24.49  20.98
 2016 350    77   40.08  14.40    0.90  38.10   5.78   5.43   4.45   4.30   5.25   4.90  22.51  18.40
 2016 351    78   40.32  15.02    0.93  38.00   5.80   5.44   4.45   4.30   5.21   4.86  23.28  17.70
 2016 352    79   40.96  13.85    0.87  39.18   5.83   5.47   4.46   4.31   5.06   4.71  25.58  20.81
 2016 353    80   42.31  10.88    0.71  41.82   5.83   5.46   4.46   4.30   4.91   4.57  27.50  24.03
 2016 354    81   41.77  13.25    0.83  40.21   5.82   5.44   4.45   4.29   4.86   4.52  27.95  23.90
 2016 355    82   43.57   9.07    0.60  43.48   5.81   5.43   4.45   4.29   5.24   4.87  22.97  20.87
 2016 356    83   43.91   8.57    0.57  43.89   5.78   5.40   4.43   4.27   5.18   4.80  18.89  16.65
 2016 357    84   42.16  15.75    0.98  39.80   5.78   5.40   4.42   4.27   5.20   4.82  23.08  18.13
 2016 358    85   42.45  15.72    0.97  40.09   5.80   5.42   4.44   4.28   5.14   4.76  24.23  19.22
 2016 359    86   42.83  15.13    0.94  40.66   5.82   5.43   4.45   4.28   5.01   4.64  26.18  21.23
 2016 360    87   43.25  14.65    0.91  41.35   5.83   5.44   4.45   4.28   4.98   4.61  26.63  22.55
 2016 361    88   43.56  14.65    0.91  41.71   5.83   5.43   4.44   4.28   4.97   4.59  26.69  22.72
 2016 362    89   43.88  14.71    0.92  42.09   5.82   5.42   4.44   4.28   4.98   4.60  26.47  22.29
 2016 363    90   43.95  15.50    0.96  41.80   5.82   5.41   4.44   4.27   4.98   4.59  26.46  21.95
 2016 364    91   44.19  16.15    1.00  42.01   5.82   5.41   4.45   4.27   5.19   4.79  23.77  19.59
 2016 365    92   45.00  14.91    0.96  43.61   5.83   5.42   4.45   4.27   3.33   3.07  13.37   9.65
 2016 366    93   44.44  15.69    1.05  41.89   5.91   5.48   4.48   4.30   4.06   3.75  19.59  12.10
 2017 001    94   45.24  15.35    0.97  43.57   5.96   5.53   4.48   4.30   5.24   4.83  24.75  19.10
 2017 002    95   45.24  15.47    0.96  43.36   5.98   5.54   4.48   4.29   5.06   4.66  27.10  22.49
 2017 003    96   46.13  14.35    0.91  44.96   5.98   5.53   4.47   4.29   5.16   4.74  25.94  22.32
 2017 004    97   46.09  15.89    1.01  44.60   5.97   5.52   4.47   4.28   5.53   5.08  21.08  16.90
 2017 005    98   46.01  16.74    1.05  44.17   5.98   5.54   4.48   4.29   5.55   5.09  21.13  17.01
 2017 006    99   45.87  17.43    1.08  43.65   6.00   5.55   4.48   4.29   5.42   4.98  22.87  17.21
 2017 007   100   48.67   5.12    0.34  48.67   6.04   5.58   4.49   4.30   4.40   4.04  17.96  11.96
 2017 008   101   45.88  13.16    0.91  43.15   6.04   5.58   4.48   4.29   1.72   1.58   9.97   5.75
 2017 009   102   46.24  17.22    1.11  43.90   6.11   5.64   4.52   4.32   3.77   3.47  16.10  10.47
 2017 010   103   47.42  16.44    1.05  46.13   6.16   5.69   4.52   4.32   5.30   4.87  18.57  13.84
 2017 011   104   47.26  16.97    1.07  45.68   6.20   5.72   4.52   4.32   5.71   5.24  21.55  16.61
 2017 012   105   46.48  19.14    1.17  43.96   6.22   5.74   4.52   4.31   5.56   5.10  23.67  18.60
 2017 013   106   49.03  14.21    0.92  48.47   6.24   5.76   4.52   4.31   5.65   5.18  22.80  19.71
 2017 014   107   48.69  15.30    0.97  47.80   6.23   5.74   4.50   4.30   5.55   5.08  23.88  19.78
 2017 015   108   49.08  15.02    0.96  48.35   6.23   5.74   4.50   4.30   5.61   5.14  23.09  19.15
 2017 016   109   49.37  14.58    0.93  48.75   6.22   5.74   4.49   4.29   5.54   5.07  23.94  19.43
 2017 017   110   47.73  17.81    1.10  45.87   6.22   5.74   4.48   4.28   5.46   4.99  24.91  20.33
 2017 018   111   47.82  18.25    1.13  45.95   6.22   5.74   4.48   4.28   5.59   5.12  23.33  18.44
 2017 019   112   47.47  19.09    1.16  45.24   6.23   5.75   4.48   4.28   5.51   5.05  24.34  18.65
 2017 020   113   48.61  17.25    1.07  47.19   6.25   5.76   4.49   4.29   5.52   5.05  24.46  19.60
 2017 021   114   47.54  19.27    1.17  45.28   6.25   5.77   4.48   4.28   5.43   4.97  25.53  20.94
 2017 022   115   51.07  10.02    0.65  51.07   6.26   5.77   4.48   4.28   5.43   4.97  25.61  22.47
 2017 023   116   49.25  17.38    1.10  48.19   6.25   5.77   4.46   4.26   5.75   5.26  19.47  17.57
 2017 024   117   47.15  21.82    1.33  44.52   6.24   5.77   4.46   4.26   5.64   5.16  19.07  15.01
 2017 025   118   47.43  20.80    1.26  45.02   6.28   5.80   4.48   4.28   5.72   5.24  21.95  16.33
 2017 026   119   50.60  14.75    0.94  50.16   6.31   5.83   4.48   4.28   5.66   5.18  23.49  20.61
 2017 027   120   50.35  15.96    1.01  49.82   6.30   5.82   4.46   4.26   5.44   4.98  18.09  15.55
 2017 028   121   51.01  13.96    0.89  50.81   6.30   5.83   4.46   4.27   4.03   3.70  13.54  11.06
 2017 029   122   51.41   8.69    0.56  51.41   6.34   5.86   4.48   4.28   3.75   3.44  12.80  10.26
 2017 030   123   47.09  21.94    1.33  44.46   6.35   5.88   4.48   4.28   4.22   3.87  15.19  10.91
 2017 031   124   47.25  21.29    1.32  44.72   6.43   5.95   4.50   4.30   4.60   4.23  18.21  11.88
 2017 032   125   47.36  22.04    1.35  44.88   6.49   6.00   4.51   4.30   5.49   5.04  20.66  14.06
 2017 033   126   48.12  21.01    1.26  46.09   6.54   6.04   4.52   4.31   5.92   5.43  22.80  17.28
 2017 034   127   47.64  22.15    1.32  45.34   6.55   6.05   4.52   4.31   5.91   5.42  23.08  18.04
 2017 035   128   48.03  21.73    1.30  45.97   6.57   6.07   4.52   4.31   6.00   5.51  22.19  17.82
 2017 036   129   49.21  20.16    1.23  47.75   6.57   6.08   4.51   4.30   6.04   5.55  21.77  17.71
 2017 037   130   47.83  21.81    1.29  45.76   6.57   6.08   4.50   4.30   5.83   5.36  24.16  18.49
 2017 038   131   48.85  20.14    1.21  47.25   6.58   6.09   4.50   4.29   5.72   5.26  25.47  20.86
 2017 039   132   49.73  19.30    1.17  48.56   6.58   6.09   4.49   4.28   5.84   5.36  24.14  20.52
 2017 040   133   47.91  21.86    1.30  46.02   6.57   6.09   4.47   4.27   5.88   5.40  23.58  19.30
 2017 041   134   46.91  24.22    1.45  44.71   6.56   6.08   4.46   4.26   6.07   5.57  20.19  15.01
 2017 042   135   47.03  23.62    1.39  44.91   6.61   6.12   4.46   4.26   5.87   5.39  23.54  17.20
 2017 043   136   47.07  23.76    1.40  45.01   6.63   6.14   4.46   4.26   5.97   5.48  23.17  17.58
 2017 044   137   48.27  21.58    1.27  46.62   6.64   6.16   4.45   4.25   5.84   5.36  24.66  19.92
 2017 045   138   50.31  19.04    1.15  49.44   6.63   6.16   4.43   4.23   5.88   5.39  24.21  20.09
 2017 046   139   50.56  18.57    1.13  49.83   6.63   6.15   4.41   4.21   5.88   5.39  24.11  21.05
 2017 047   140   46.48  24.68    1.46  44.52   6.62   6.15   4.39   4.20   5.34   4.90  17.71  12.99
 2017 048   141   46.45  23.03    1.41  44.53   6.66   6.19   4.40   4.20   4.87   4.47  20.85  13.10
