*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2014 303    30       0    6251   25581       6   25575   25566     9.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 304    31       0    6251   25582       7   25575   25565    10.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 305    32       0    6251   25583       7   25575   25564    10.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 306    33       0    6250   25583       8   25575   25563    11.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 307    34       0    6250   25583       8   25575   25563    12.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 308    35       0    6250   25584       9   25575   25562    12.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 309    36       0    6250   25585      10   25575   25561    13.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 310    37       0    6250   25586      11   25575   25561    14.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 311    38       0    6250   25588      12   25576   25560    16.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 312    39       0    6249   25589      13   25576   25559    17.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 313    40       0    6249   25590      14   25577   25558    18.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 314    41       0    6249   25592      15   25577   25558    19.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 315    42       0    6249   25594      16   25578   25557    20.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 316    43       0    6249   25596      17   25578   25556    22.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 317    44       0    6248   25598      19   25579   25555    23.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 318    45       0    6248   25600      20   25580   25555    25.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 319    46       0    6248   25602      21   25580   25554    26.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 320    47       0    6248   25604      23   25581   25553    27.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 321    48       0    6248   25607      24   25582   25552    29.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 322    49       0    6248   25610      27   25583   25552    31.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 323    50       0    6247   25612      28   25584   25551    33.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 324    51       0    6247   25613      28   25584   25550    33.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 325    52       0    6247   25614      30   25585   25550    35.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 326    53       0    6247   25618      31   25586   25549    37.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 327    54       0    6247   25622      34   25588   25548    39.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 328    55       0    6247   25626      36   25590   25548    41.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 329    56       0    6247   25629      38   25591   25547    44.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 330    57       0    6246   25634      41   25593   25546    46.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 331    58       0    6246   25636      42   25594   25545    48.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 332    59       0    6246   25638      44   25595   25544    50.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 333    60       0    6246   25640      45   25595   25544    51.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 334    61       0    6246   25643      47   25597   25543    53.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 335    62       0    6245   25647      49   25598   25542    56.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 336    63       0    6245   25652      52   25601   25542    58.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 337    64       0    6245   25658      55   25603   25541    62.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 338    65       0    6245   25664      58   25605   25540    65.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 339    66       0    6245   25669      62   25608   25539    68.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 340    67       0    6245   25675      65   25610   25539    71.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 341    68       0    6244   25681      68   25613   25538    75.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 342    69       0    6244   25687      72   25615   25537    78.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 343    70       0    6244   25692      75   25617   25536    81.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 344    71       0    6244   25696      77   25619   25535    83.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 345    72       0    6244   25699      79   25620   25535    85.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 346    73       0    6243   25702      81   25621   25534    87.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 347    74       0    6243   25705      82   25623   25534    89.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 348    75       0    6243   25709      84   25624   25533    91.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 349    76       0    6243   25713      87   25626   25532    93.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 350    77       0    6243   25717      89   25628   25532    96.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 351    78       0    6243   25722      92   25630   25531    98.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 352    79       0    6243   25729      96   25633   25531   102.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 353    80       0    6243   25734      98   25635   25530   105.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 354    81       0    6243   25740     102   25638   25530   108.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 355    82       0    6242   25748     107   25642   25529   112.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 356    83       0    6242   25758     112   25646   25528   117.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 357    84       0    6242   25768     117   25650   25528   122.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 358    85       0    6242   25777     122   25655   25527   127.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 359    86       0    6242   25787     128   25659   25526   133.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 360    87       0    6242   25795     133   25662   25525   136.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 361    88       0    6241   25803     137   25665   25524   140.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 362    89       0    6241   25813     143   25670   25524   146.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 363    90       0    6241   25823     149   25674   25523   151.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 364    91       0    6241   25832     154   25678   25522   155.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 365    92       0    6241   25843     160   25682   25521   161.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 001    93       0    6240   25852     166   25686   25521   165.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:44

*RUN   2        : Radiance                  CRGRO048 UFBA1601    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1601 SR 2016 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2016 273     0       0    6258   25593       0   25593   25593     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 274     1       0    6258   25592       0   25592   25592     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 275     2       0    6257   25591       0   25591   25591     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 276     3       0    6257   25590       0   25590   25590     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 277     4       0    6257   25589       0   25589   25589     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 278     5       0    6257   25588       0   25588   25588     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 279     6       0    6256   25587       0   25587   25587     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 280     7       0    6256   25586       0   25586   25586     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 281     8       0    6256   25585       0   25585   25585     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 282     9       0    6256   25584       0   25584   25584     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 283    10       0    6255   25583       0   25583   25583     0.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 284    11       0    6255   25583       0   25582   25582     0.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 285    12       0    6255   25582       0   25582   25581     0.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 286    13       0    6255   25582       1   25581   25580     1.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 287    14       0    6254   25582       1   25581   25579     1.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 288    15       0    6254   25581       1   25580   25578     1.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 289    16       0    6254   25581       1   25579   25577     2.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 290    17       0    6254   25581       2   25579   25576     2.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 291    18       0    6253   25580       2   25578   25575     3.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 292    19       0    6253   25580       2   25578   25574     3.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 293    20       0    6253   25580       2   25577   25573     3.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 294    21       0    6253   25579       3   25577   25572     4.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 295    22       0    6252   25579       3   25576   25571     4.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 296    23       0    6252   25579       3   25576   25571     5.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 297    24       0    6252   25579       4   25575   25570     5.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 298    25       0    6252   25579       4   25575   25569     6.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 299    26       0    6251   25579       4   25575   25568     6.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 300    27       0    6251   25579       5   25575   25567     7.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 301    28       0    6251   25580       5   25574   25567     7.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 302    29       0    6251   25580       6   25574   25566     8.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 303    30       0    6251   25581       6   25574   25565     9.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 304    31       0    6250   25581       7   25574   25564    10.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 305    32       0    6250   25581       8   25574   25563    10.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 306    33       0    6250   25582       8   25574   25562    11.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 307    34       0    6250   25583       9   25574   25561    12.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 308    35       0    6249   25584      10   25574   25560    13.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 309    36       0    6249   25584      10   25574   25559    14.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 310    37       0    6249   25586      11   25574   25559    15.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 311    38       0    6249   25587      12   25575   25558    16.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 312    39       0    6249   25588      13   25575   25557    18.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 313    40       0    6248   25590      14   25575   25556    19.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 314    41       0    6248   25591      15   25576   25555    20.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 315    42       0    6248   25593      17   25576   25554    22.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 316    43       0    6248   25595      18   25577   25553    23.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 317    44       0    6248   25597      19   25578   25553    25.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 318    45       0    6247   25599      21   25578   25552    26.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 319    46       0    6247   25601      22   25579   25551    28.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 320    47       0    6247   25604      24   25580   25550    30.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 321    48       0    6247   25607      26   25581   25549    31.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 322    49       0    6247   25610      27   25582   25549    33.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 323    50       0    6246   25612      29   25583   25548    35.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 324    51       0    6246   25616      31   25584   25547    37.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 325    52       0    6246   25619      33   25586   25546    39.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 326    53       0    6246   25621      34   25587   25546    41.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 327    54       0    6246   25623      36   25588   25545    42.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 328    55       0    6246   25626      37   25589   25544    44.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 329    56       0    6245   25630      39   25590   25544    46.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 330    57       0    6245   25634      42   25592   25543    49.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 331    58       0    6245   25639      45   25595   25542    52.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 332    59       0    6245   25644      48   25597   25541    55.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 333    60       0    6245   25649      50   25599   25541    58.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 334    61       0    6244   25654      53   25601   25540    61.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 335    62       0    6244   25659      56   25603   25539    64.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 336    63       0    6244   25665      59   25606   25538    67.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 337    64       0    6244   25672      63   25609   25537    71.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 338    65       0    6244   25677      66   25611   25537    74.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 339    66       0    6243   25683      69   25614   25536    77.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 340    67       0    6243   25689      73   25616   25535    81.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 341    68       0    6243   25696      77   25619   25534    85.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 342    69       0    6243   25703      81   25623   25533    89.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 343    70       0    6243   25710      84   25625   25532    93.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 344    71       0    6242   25716      88   25628   25532    96.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 345    72       0    6242   25721      91   25630   25531    99.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 346    73       0    6242   25727      94   25633   25530   102.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 347    74       0    6242   25734      98   25636   25529   106.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 348    75       0    6242   25741     102   25639   25529   110.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 349    76       0    6242   25749     106   25643   25528   114.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 350    77       0    6241   25758     111   25646   25527   119.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 351    78       0    6241   25766     116   25650   25526   123.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 352    79       0    6241   25773     120   25653   25526   127.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 353    80       0    6241   25781     124   25656   25525   131.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 354    81       0    6241   25789     129   25660   25524   136.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 355    82       0    6240   25798     134   25664   25523   141.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 356    83       0    6240   25808     139   25668   25522   146.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 357    84       0    6240   25817     145   25672   25521   150.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 358    85       0    6240   25825     150   25675   25521   154.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 359    86       0    6240   25833     155   25679   25520   159.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 360    87       0    6239   25843     160   25683   25519   163.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 361    88       0    6239   25851     165   25687   25518   168.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 362    89       0    6239   25861     170   25691   25517   173.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 363    90       0    6239   25871     176   25695   25517   178.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 364    91       0    6239   25881     182   25699   25516   183.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 365    92       0    6238   25891     188   25703   25515   188.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2016 366    93       0    6238   25895     191   25705   25514   190.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 001    94       0    6238   25900     193   25707   25513   193.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 002    95       0    6238   25910     199   25711   25513   198.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 003    96       0    6238   25920     205   25715   25512   203.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 004    97       0    6237   25932     211   25720   25511   209.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 005    98       0    6237   25942     218   25724   25511   213.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 006    99       0    6237   25953     225   25729   25510   218.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 007   100       0    6237   25962     229   25732   25509   223.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 008   101       0    6237   25968     233   25735   25508   227.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 009   102       0    6237   25970     234   25736   25508   228.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 010   103       0    6236   25976     237   25738   25507   231.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 011   104       0    6236   25984     241   25742   25507   235.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 012   105       0    6236   25994     248   25747   25506   240.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 013   106       0    6236   26007     255   25752   25505   246.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 014   107       0    6236   26021     264   25757   25505   252.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 015   108       0    6236   26035     273   25762   25504   258.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 016   109       0    6236   26047     279   25768   25503   264.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 017   110       0    6235   26059     287   25773   25502   270.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 018   111       0    6235   26071     294   25778   25502   275.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 019   112       0    6235   26082     300   25782   25501   281.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 020   113       0    6235   26092     305   25787   25500   286.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 021   114       0    6235   26104     312   25792   25499   292.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 022   115       0    6235   26116     320   25797   25499   297.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 023   116       0    6234   26129     327   25802   25498   304.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 024   117       0    6234   26141     334   25807   25497   309.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 025   118       0    6234   26152     341   25811   25496   314.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 026   119       0    6234   26162     347   25815   25496   319.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 027   120       0    6234   26175     355   25821   25495   325.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 028   121       0    6233   26186     361   25825   25494   330.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 029   122       0    6233   26191     364   25828   25494   334.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 030   123       0    6233   26196     366   25830   25493   337.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 031   124       0    6233   26203     370   25833   25492   340.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 032   125       0    6233   26211     375   25836   25492   344.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 033   126       0    6233   26218     379   25840   25491   348.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 034   127       0    6233   26231     386   25844   25491   353.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 035   128       0    6233   26244     394   25849   25490   359.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 036   129       0    6232   26259     404   25854   25489   365.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 037   130       0    6232   26272     413   25860   25489   370.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 038   131       0    6232   26284     419   25864   25488   376.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 039   132       0    6232   26297     427   25870   25487   382.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 040   133       0    6232   26311     435   25875   25487   388.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 041   134       0    6232   26324     443   25880   25486   394.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 042   135       0    6231   26335     451   25884   25485   399.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 043   136       0    6231   26345     457   25888   25484   403.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 044   137       0    6231   26357     464   25893   25484   409.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 045   138       0    6231   26369     471   25898   25483   414.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2017 046   139       0    6231   26382     479   25903   25482   420.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
