*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 12, 2025 18:04:53

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2014 306    33   11.96   5.41    0.31  10.70   6.33   6.27   4.46   4.44   4.43   4.39  16.53  11.46
 2014 307    34   12.52   5.59    0.32  11.34   6.43   6.37   4.47   4.44   5.55   5.50  19.67  13.82
 2014 308    35   13.22   5.35    0.31  12.31   6.49   6.42   4.47   4.44   5.78   5.72  23.47  18.18
 2014 309    36   13.86   5.49    0.32  12.91   6.47   6.40   4.46   4.43   5.60   5.53  25.43  21.30
 2014 310    37   14.86   5.15    0.31  14.26   6.38   6.30   4.45   4.42   5.43   5.36  26.39  22.02
 2014 311    38   15.30   6.63    0.38  13.97   6.28   6.20   4.45   4.41   5.62   5.55  23.16  18.42
 2014 312    39   16.51   5.54    0.34  16.06   6.28   6.20   4.45   4.42   5.68   5.60  22.48  17.44
 2014 313    40   17.76   3.75    0.24  17.76   6.27   6.18   4.44   4.41   5.51   5.43  18.59  16.35
 2014 314    41   17.17   7.75    0.44  15.50   6.21   6.12   4.42   4.38   5.61   5.52  22.50  18.38
 2014 315    42   17.95   8.19    0.46  16.18   6.21   6.11   4.45   4.41   5.66   5.56  21.97  17.83
 2014 316    43   18.75   8.68    0.49  16.80   6.22   6.12   4.45   4.40   5.59   5.49  22.89  17.42
 2014 317    44   19.47   8.51    0.49  17.59   6.26   6.15   4.45   4.41   5.45   5.34  23.42  16.66
 2014 318    45   21.16   5.65    0.36  21.02   6.30   6.18   4.46   4.41   5.74   5.62  19.35  15.56
 2014 319    46   20.66   9.03    0.53  18.77   6.28   6.16   4.44   4.39   5.75   5.62  20.94  15.62
 2014 320    47   21.35   8.46    0.49  19.78   6.31   6.18   4.46   4.40   5.51   5.39  24.87  19.63
 2014 321    48   23.16   4.91    0.31  23.12   6.30   6.16   4.45   4.39   5.43   5.30  25.67  21.61
 2014 322    49   23.71   3.14    0.20  23.71   6.23   6.09   4.43   4.37   4.63   4.52  16.78  12.08
 2014 323    50   23.15   7.77    0.49  22.24   6.21   6.07   4.43   4.37   3.37   3.28  13.60   9.28
 2014 324    51   23.42   8.77    0.54  22.08   6.29   6.14   4.45   4.39   4.46   4.35  16.21  11.59
 2014 325    52   24.11   8.33    0.52  23.25   6.34   6.19   4.46   4.39   5.88   5.72  20.77  16.42
 2014 326    53   25.46   5.62    0.36  25.41   6.33   6.17   4.45   4.38   5.75   5.59  22.19  20.03
 2014 327    54   25.13   7.94    0.49  24.28   6.25   6.08   4.42   4.36   5.22   5.07  27.44  24.54
 2014 328    55   25.82   7.97    0.50  25.04   6.19   6.02   4.43   4.36   5.18   5.03  27.42  24.65
 2014 329    56   27.32   3.75    0.25  27.32   6.14   5.96   4.43   4.36   5.31   5.14  25.38  23.06
 2014 330    57   27.79   5.40    0.35  27.79   6.08   5.90   4.40   4.33   5.42   5.24  19.12  14.58
 2014 331    58   27.01  11.31    0.68  24.57   6.07   5.89   4.42   4.34   4.77   4.62  17.78  12.71
 2014 332    59   27.58  11.08    0.67  25.06   6.13   5.94   4.44   4.36   3.58   3.46  13.84   9.84
 2014 333    60   28.01  11.69    0.71  25.63   6.24   6.04   4.45   4.37   5.35   5.17  19.11  13.77
 2014 334    61   28.52  11.28    0.68  26.47   6.28   6.08   4.45   4.37   5.70   5.50  22.29  17.42
 2014 335    62   29.30  10.25    0.64  27.96   6.29   6.08   4.45   4.36   5.65   5.45  22.91  18.88
 2014 336    63   30.53   8.74    0.56  30.06   6.26   6.04   4.45   4.35   5.65   5.43  22.63  19.95
 2014 337    64   30.76   9.91    0.63  29.76   6.19   5.96   4.44   4.34   5.49   5.27  23.70  20.48
 2014 338    65   31.02  11.43    0.70  29.14   6.13   5.89   4.44   4.34   5.39   5.16  24.36  20.44
 2014 339    66   31.90  10.87    0.68  30.52   6.10   5.85   4.44   4.34   5.40   5.16  23.90  20.85
 2014 340    67   32.47  11.17    0.69  30.84   6.04   5.79   4.44   4.33   5.17   4.94  26.01  22.20
 2014 341    68   34.50   7.15    0.47  34.44   6.00   5.74   4.44   4.33   5.51   5.24  21.41  18.23
 2014 342    69   35.02   4.25    0.28  35.02   5.97   5.70   4.42   4.31   4.87   4.63  17.13  15.25
 2014 343    70   33.87  12.95    0.80  31.83   5.95   5.69   4.41   4.30   4.60   4.37  16.21  13.20
 2014 344    71   34.23  13.26    0.83  31.57   6.01   5.74   4.46   4.34   3.78   3.59  15.41  10.49
 2014 345    72   34.62  13.19    0.83  32.03   6.09   5.80   4.47   4.35   3.68   3.49  14.97  10.16
 2014 346    73   36.68   7.41    0.49  36.66   6.16   5.87   4.48   4.35   3.39   3.21  12.30   9.59
 2014 347    74   35.21  13.97    0.88  32.51   6.19   5.89   4.48   4.35   4.26   4.04  16.85  11.37
 2014 348    75   35.57  13.86    0.89  32.88   6.25   5.94   4.49   4.36   4.24   4.02  17.27  11.36
 2014 349    76   35.93  13.45    0.89  33.24   6.30   5.98   4.49   4.36   4.13   3.91  18.14  11.39
 2014 350    77   36.30  14.09    0.89  33.92   6.34   6.01   4.50   4.36   5.23   4.95  19.25  13.30
 2014 351    78   37.08  12.93    0.83  35.56   6.37   6.04   4.50   4.36   5.87   5.54  20.27  15.16
 2014 352    79   36.98  14.59    0.92  34.48   6.38   6.04   4.50   4.36   4.67   4.41  17.24  11.93
 2014 353    80   37.38  14.80    0.93  35.01   6.42   6.07   4.51   4.36   5.88   5.54  20.09  14.84
 2014 354    81   37.74  14.61    0.90  35.44   6.44   6.08   4.51   4.36   5.79   5.44  22.95  17.81
 2014 355    82   39.77  10.00    0.66  39.47   6.44   6.07   4.51   4.35   5.73   5.38  23.62  19.55
 2014 356    83   40.19   9.67    0.64  39.92   6.42   6.05   4.49   4.34   5.57   5.22  25.24  22.30
 2014 357    84   40.32  10.58    0.69  39.85   6.38   6.00   4.49   4.33   5.45   5.10  26.24  23.13
 2014 358    85   41.36   8.30    0.55  41.28   6.34   5.96   4.48   4.32   5.49   5.13  25.36  22.29
 2014 359    86   41.56  10.38    0.69  41.34   6.31   5.92   4.47   4.31   5.19   4.84  17.25  14.65
 2014 360    87   41.89  10.22    0.68  41.68   6.31   5.92   4.48   4.32   5.70   5.31  19.14  15.40
 2014 361    88   41.27  12.40    0.80  40.37   6.31   5.92   4.48   4.31   5.54   5.17  24.47  21.10
 2014 362    89   40.76  14.41    0.90  38.89   6.29   5.89   4.47   4.31   5.51   5.12  24.61  20.50
 2014 363    90   41.41  13.86    0.88  39.95   6.28   5.87   4.48   4.31   5.54   5.15  24.13  20.05
 2014 364    91   43.41   4.34    0.29  43.41   6.27   5.86   4.47   4.30   5.87   5.45  20.04  18.67
 2014 365    92   43.68   5.59    0.38  43.68   6.25   5.85   4.45   4.28   5.29   4.91  17.81  16.70
 2015 001    93   43.89   5.62    0.38  43.89   6.24   5.84   4.45   4.28   5.28   4.90  17.81  16.70
