@YEAR DOY   DAS,DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD,RWAD   VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,PST1A,PST2A,KSTD,EWSD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,NWAD,RDPD,RLAD,RL1D,RL2D    RL3D,RL4D,RL5D    RL6D,RL7D,RL8D,RL9D,SNW0C,SNW1C
2017 296    23,14    9.3      0  0.088     60    131      0,96    190,190,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.31,0.00,0.00,0,0,147.6,0.11,0.17,0.0,0.47,10,0.66,0.44    0.11,0.03,0.00    0.00,0.00,0.00,0.00,8,14
2017 297    24,15    9.7      0  0.096     63    135      0,99    198,198,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.30,0.00,0.00,0,0,150.9,0.11,0.18,0.0,0.49,10,0.67,0.45    0.12,0.03,0.00    0.00,0.00,0.00,0.00,9,15
2017 298    25,16   10.0      0  0.104     69    141      0,105    211,211,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.31,0.00,0.00,0,0,149.9,0.12,0.18,0.0,0.51,11,0.68,0.47    0.13,0.04,0.00    0.00,0.00,0.00,0.00,10,16
2017 299    26,17   10.3      0  0.112     75    149      0,112    224,224,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.31,0.00,0.00,0,0,148.8,0.12,0.19,0.0,0.53,11,0.70,0.49    0.14,0.05,0.01    0.00,0.00,0.00,0.00,11,17
2017 300    27,18   10.6      0  0.121     82    156      0,119    237,237,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.30,0.00,0.00,0,0,148.6,0.12,0.19,0.0,0.55,12,0.71,0.50    0.16,0.07,0.01    0.00,0.00,0.00,0.00,12,18
2017 301    28,19   10.9      0  0.128     84    159      0,122    243,243,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.28,0.00,0.00,0,0,151.4,0.12,0.19,0.0,0.58,12,0.72,0.51    0.16,0.07,0.02    0.00,0.00,0.00,0.00,13,20
2017 302    29,20   11.2      0  0.137     91    166      0,130    257,257,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.31,0.00,0.00,0,0,149.9,0.12,0.20,0.0,0.60,13,0.73,0.53    0.18,0.08,0.03    0.00,0.00,0.00,0.00,14,21
2017 303    30,21   11.4      0  0.148    100    174      0,140    274,274,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.31,0.00,0.00,0,0,148.2,0.13,0.20,0.0,0.61,14,0.76,0.56    0.19,0.09,0.04    0.00,0.00,0.00,0.00,15,22
2017 304    31,22   11.7      0  0.159    108    182      0,150    290,290,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.31,0.00,0.00,0,0,147.2,0.13,0.20,0.0,0.63,15,0.78,0.58    0.21,0.11,0.05    0.00,0.00,0.00,0.00,16,24
2017 305    32,23   12.0      0  0.172    116    190      0,159    306,306,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.30,0.00,0.00,0,0,148.0,0.13,0.21,0.0,0.66,16,0.80,0.60    0.23,0.12,0.06    0.00,0.00,0.00,0.00,17,25
2017 306    33,24   12.3      0  0.185    124    197      0,169    322,322,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.30,0.00,0.00,0,0,148.7,0.13,0.21,0.0,0.68,17,0.82,0.63    0.25,0.14,0.07    0.00,0.00,0.00,0.00,19,27
2017 307    34,25   12.7      0  0.199    132    204      0,178    335,335,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.29,0.00,0.00,0,0,151.2,0.13,0.22,0.0,0.70,18,0.84,0.65    0.26,0.15,0.08    0.01,0.00,0.00,0.00,21,30
2017 308    35,26   13.0      1  0.215    140    212      0,190    352,352,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.29,0.00,0.00,0,0,153.0,0.14,0.22,0.0,0.73,19,0.87,0.68    0.28,0.16,0.09    0.01,0.00,0.00,0.00,23,32
2017 309    36,27   13.4      1  0.231    150    221      0,202    370,370,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.28,0.00,0.00,0,0,154.2,0.14,0.23,0.0,0.75,21,0.89,0.71    0.30,0.18,0.10    0.01,0.00,0.00,0.00,25,34
2017 310    37,28   13.7      1  0.246    157    227      0,211    384,384,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.28,0.00,0.00,0,0,157.0,0.14,0.23,0.0,0.78,22,0.91,0.73    0.32,0.19,0.11    0.02,0.00,0.00,0.00,27,37
2017 311    38,29   14.1      1  0.265    167    237      0,224    404,404,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.28,0.00,0.00,0,0,158.8,0.14,0.24,0.0,0.81,23,0.94,0.76    0.34,0.21,0.12    0.02,0.00,0.00,0.00,29,40
2017 312    39,30   14.4      1  0.285    178    247      0,238    425,425,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.27,0.00,0.00,0,0,160.2,0.15,0.24,0.0,0.83,24,0.97,0.79    0.36,0.22,0.14    0.03,0.00,0.00,0.00,31,43
2017 313    40,31   14.8      2  0.304    188    257      0,251    445,445,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.27,0.00,0.00,0,0,161.6,0.15,0.25,0.0,0.85,26,0.99,0.82    0.38,0.24,0.15    0.04,0.00,0.00,0.00,34,46
2017 314    41,32   15.2      2  0.315    192    261      0,256    452,452,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.24,0.00,0.00,0,0,164.4,0.15,0.25,0.0,0.88,26,1.00,0.82    0.39,0.24,0.15    0.04,0.00,0.00,0.00,37,49
2017 315    42,33   15.5      2  0.334    203    271      0,269    474,474,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.28,0.00,0.00,0,0,165.2,0.15,0.26,0.0,0.90,28,1.03,0.85    0.41,0.26,0.16    0.05,0.00,0.00,0.00,40,53
2017 316    43,34   15.9      2  0.349    207    276      0,275    483,484,0,0.0,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.25,0.00,0.00,0,0,168.2,0.16,0.27,0.0,0.93,28,1.03,0.86    0.41,0.27,0.17    0.05,0.00,0.00,0.00,43,57
2017 317    44,35   16.3      2  0.371    218    287      0,288    505,506,0,0.0,0.000,1,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.27,0.00,0.00,0,1,170.0,0.16,0.27,0.0,0.96,29,1.06,0.89    0.43,0.28,0.18    0.06,0.00,0.00,0.00,46,60
2017 318    45,36   16.6      5  0.396    231    299      0,304    530,531,0,0.0,0.000,1,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.27,0.00,0.00,0,1,171.3,0.16,0.28,0.0,0.98,31,1.09,0.92    0.46,0.30,0.19    0.07,0.00,0.00,0.00,49,64
2017 319    46,37   16.9      5  0.419    246    313      0,323    559,561,0,0.0,0.000,2,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.27,0.00,0.00,0,2,170.4,0.16,0.28,0.0,1.01,33,1.13,0.96    0.48,0.32,0.21    0.08,0.01,0.00,0.00,52,68
2017 320    47,38   17.3      5  0.443    259    326      0,340    586,590,17,0.0,0.000,4,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.26,0.00,0.01,0,4,170.7,0.16,0.29,0.0,1.03,35,1.16,1.00    0.51,0.34,0.22    0.09,0.01,0.00,0.00,56,72
2017 321    48,39   17.6      5  0.466    275    341      0,360    616,622,48,0.1,0.000,6,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.26,1.01,0.01,0,6,169.6,0.17,0.29,0.0,1.06,37,1.20,1.04    0.54,0.36,0.24    0.10,0.01,0.00,0.00,60,76
2017 322    49,40   17.9      5  0.489    290    356      0,379    646,654,69,0.3,0.000,8,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.26,2.77,0.01,0,8,168.6,0.17,0.30,0.0,1.08,39,1.24,1.08    0.56,0.38,0.26    0.11,0.01,0.00,0.00,64,81
2017 323    50,41   18.2      5  0.508    301    368      0,394    669,680,102,0.5,0.001,11,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.25,4.25,0.02,0,11,168.7,0.17,0.30,0.0,1.10,40,1.27,1.11    0.58,0.40,0.27    0.12,0.02,0.00,0.00,69,85
2017 324    51,42   18.5      5  0.532    318    384      1,414    702,716,148,0.5,0.001,14,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.26,5.29,0.02,0,14,167.2,0.17,0.30,0.0,1.12,42,1.31,1.15    0.61,0.42,0.28    0.13,0.02,0.00,0.00,72,89
2017 325    52,43   18.8      5  0.544    322    389      1,419    711,730,188,0.7,0.002,20,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.23,6.83,0.03,0,20,168.8,0.17,0.31,0.0,1.15,43,1.31,1.16    0.62,0.42,0.29    0.13,0.02,0.00,0.00,78,95
2017 326    53,44   19.2      5  0.567    334    401      2,434    735,761,198,1.1,0.003,26,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.25,8.14,0.03,0,26,169.8,0.18,0.31,0.0,1.17,44,1.34,1.19    0.64,0.44,0.30    0.14,0.03,0.00,0.00,83,100
2017 327    54,45   19.5      5  0.582    338    406      3,438    744,777,212,1.4,0.004,33,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,8.97,0.04,0,33,172.0,0.18,0.32,0.0,1.20,45,1.35,1.20    0.65,0.44,0.30    0.15,0.03,0.00,0.00,88,107
2017 328    55,46   19.9      5  0.595    343    411      4,443    753,794,224,1.7,0.005,41,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,9.42,0.05,0,41,173.7,0.18,0.33,0.0,1.23,46,1.35,1.21    0.65,0.45,0.31    0.15,0.03,0.00,0.00,94,113
2017 329    56,47   20.1      5  0.621    360    428      4,464    788,835,258,1.7,0.005,46,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.24,9.73,0.06,0,46,172.2,0.18,0.33,0.0,1.25,48,1.39,1.25    0.68,0.47,0.33    0.16,0.04,0.00,0.00,99,118
2017 330    57,48   20.4      5  0.646    377    444      5,484    821,874,258,2.1,0.006,53,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.24,10.13,0.06,0,53,171.4,0.18,0.33,0.0,1.27,50,1.43,1.29    0.71,0.49,0.34    0.17,0.05,0.00,0.00,104,123
2017 331    58,49   20.7      5  0.671    394    461      2,505    855,855,290,0.6,0.002,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.24,0.00,0.00,0,0,170.4,0.19,0.34,0.0,1.29,52,1.47,1.33    0.74,0.51,0.36    0.18,0.05,0.00,0.00,109,129
2017 332    59,50   21.0      5  0.699    409    477      2,524    886,892,177,1.2,0.002,6,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.23,37.12,0.01,0,6,170.7,0.19,0.34,0.0,1.31,54,1.51,1.37    0.76,0.53,0.37    0.19,0.06,0.00,0.00,115,135
2017 333    60,51   21.3      5  0.728    423    492      3,541    915,928,220,1.3,0.003,13,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,21.93,0.01,0,13,171.9,0.19,0.34,0.0,1.34,56,1.54,1.40    0.78,0.55,0.38    0.20,0.07,0.01,0.00,122,142
2017 334    61,52   21.6      5  0.757    439    507      2,559    946,946,275,0.6,0.002,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,0.00,0.00,0,0,172.6,0.19,0.35,0.0,1.37,58,1.57,1.44    0.81,0.57,0.40    0.21,0.07,0.01,0.00,129,149
2017 335    62,53   21.9      5  0.785    455    524      3,579    980,987,255,1.0,0.003,7,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,33.89,0.01,0,7,172.3,0.19,0.35,0.0,1.39,60,1.61,1.48    0.84,0.59,0.41    0.22,0.08,0.01,0.00,136,156
2017 336    63,54   22.2      5  0.810    471    541      3,598   1012,1028,287,1.2,0.003,16,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,21.95,0.02,0,16,172.0,0.19,0.36,0.0,1.41,62,1.65,1.52    0.86,0.61,0.43    0.23,0.08,0.01,0.00,143,163
2017 337    64,55   22.5      5  0.832    483    553      5,612   1036,1061,312,1.5,0.004,25,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.21,18.03,0.02,0,25,172.4,0.20,0.36,0.0,1.44,63,1.67,1.54    0.88,0.62,0.44    0.24,0.09,0.01,0.00,150,171
2017 338    65,56   22.8      5  0.857    495    566      3,626   1060,1060,349,1.0,0.003,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.21,0.00,0.00,0,0,173.2,0.20,0.37,0.0,1.46,64,1.70,1.57    0.90,0.63,0.45    0.24,0.09,0.02,0.00,158,179
2017 339    66,57   23.2      5  0.887    510    582      4,644   1093,1104,298,1.5,0.004,11,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.21,40.45,0.01,0,11,173.7,0.20,0.37,0.0,1.49,66,1.73,1.60    0.92,0.65,0.46    0.25,0.10,0.02,0.00,166,187
2017 340    67,58   23.5      5  0.913    524    597      6,660   1121,1145,330,1.7,0.005,24,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.20,23.59,0.02,0,24,174.1,0.20,0.37,0.0,1.51,68,1.76,1.64    0.94,0.67,0.48    0.26,0.10,0.02,0.00,174,195
2017 341    68,59   23.8      5  0.929    529    604      3,665   1133,1133,485,0.6,0.003,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,0.00,0.00,0,0,175.6,0.20,0.38,0.0,1.54,69,1.77,1.64    0.95,0.67,0.48    0.27,0.11,0.03,0.00,185,205
2017 342    69,60   24.1      5  0.951    538    613      4,674   1151,1163,352,1.2,0.004,13,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,34.36,0.01,0,13,176.8,0.21,0.38,0.0,1.56,70,1.78,1.66    0.96,0.68,0.49    0.27,0.11,0.03,0.00,193,214
2017 343    70,61   24.3      5  0.956    540    616      5,675   1156,1176,425,1.2,0.004,20,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.18,26.00,0.02,0,20,177.0,0.21,0.39,0.0,1.58,70,1.78,1.66    0.96,0.68,0.49    0.27,0.11,0.03,0.00,198,220
2017 344    71,62   24.4      5  0.978    562    637      6,700   1199,1222,425,1.3,0.005,23,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.21,23.77,0.02,0,23,174.2,0.21,0.39,0.0,1.59,72,1.83,1.71    0.99,0.71,0.50    0.28,0.12,0.03,0.00,201,223
2017 345    72,63   24.5      5  1.002    583    658      3,724   1241,1241,487,0.6,0.002,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,0.00,0.00,0,0,171.9,0.21,0.39,0.0,1.60,75,1.88,1.76    1.03,0.73,0.52    0.29,0.12,0.04,0.00,205,227
2017 346    73,64   24.7      5  1.031    604    679      4,749   1282,1289,385,1.0,0.003,6,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,59.47,0.00,0,6,170.7,0.21,0.39,0.0,1.62,77,1.92,1.80    1.06,0.75,0.54    0.31,0.13,0.04,0.00,210,233
2017 347    74,65   24.9      5  1.058    628    702      4,776   1330,1341,436,1.0,0.003,11,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,40.57,0.01,0,11,168.5,0.21,0.39,0.0,1.63,80,1.98,1.86    1.09,0.78,0.56    0.32,0.14,0.04,0.00,214,238
2017 348    75,66   25.0      5  1.085    646    721      4,798   1367,1368,436,1.0,0.003,1,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.22,0.00,0.00,0,1,167.8,0.21,0.39,0.0,1.64,82,2.02,1.90    1.12,0.80,0.57    0.33,0.14,0.05,0.00,219,244
2017 349    76,67   25.3      5  1.112    663    739      6,816   1402,1415,459,1.2,0.004,13,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.21,43.68,0.01,0,13,167.7,0.21,0.40,0.0,1.67,84,2.05,1.94    1.14,0.82,0.59    0.34,0.15,0.05,0.01,230,254
2017 350    77,68   25.6      5  1.140    681    758      7,837   1439,1466,533,1.3,0.005,26,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.21,27.29,0.02,0,26,167.3,0.21,0.40,0.0,1.69,86,2.09,1.98    1.17,0.84,0.60    0.35,0.15,0.05,0.01,241,263
2017 351    78,69   25.9      5  1.166    698    776      9,856   1473,1516,621,1.5,0.006,42,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.21,21.53,0.03,0,42,167.1,0.21,0.40,0.0,1.71,88,2.13,2.01    1.19,0.86,0.62    0.36,0.16,0.06,0.01,252,273
2017 352    79,70   26.2      5  1.193    711    791      5,871   1502,1502,669,0.8,0.003,0,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.20,0.00,0.00,0,0,167.8,0.21,0.41,0.0,1.74,90,2.15,2.04    1.21,0.87,0.63    0.36,0.16,0.06,0.01,263,284
2017 353    80,71   26.5      5  1.220    725    807      7,886   1532,1549,522,1.3,0.005,17,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.20,41.48,0.01,0,17,168.2,0.22,0.41,0.0,1.76,92,2.18,2.07    1.23,0.89,0.64    0.37,0.17,0.06,0.01,275,296
2017 354    81,72   26.8      5  1.244    737    821      9,899   1558,1594,544,1.7,0.006,36,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,25.19,0.02,0,36,168.6,0.22,0.41,0.0,1.79,93,2.21,2.10    1.25,0.90,0.65    0.38,0.17,0.07,0.01,287,307
2017 355    82,73   27.1      5  1.264    746    831      5,908   1577,1577,647,0.8,0.003,0,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,0.00,0.00,0,0,169.5,0.22,0.42,0.0,1.80,94,2.22,2.11    1.26,0.91,0.66    0.38,0.18,0.07,0.02,299,320
2017 356    83,74   27.3      5  1.285    757    844      7,919   1601,1622,660,1.1,0.005,20,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,35.79,0.01,0,20,169.7,0.22,0.42,0.0,1.80,95,2.24,2.13    1.28,0.92,0.67    0.39,0.18,0.07,0.02,314,332
2017 357    84,75   27.6      5  1.303    767    856     10,930   1623,1669,803,1.2,0.006,46,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,21.52,0.03,0,46,169.8,0.22,0.43,0.0,1.80,96,2.26,2.15    1.29,0.93,0.67    0.40,0.18,0.07,0.02,326,343
2017 358    85,76   27.9      5  1.322    779    870     13,942   1649,1724,985,1.3,0.008,75,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,17.38,0.04,0,75,169.6,0.22,0.43,0.0,1.80,98,2.28,2.18    1.31,0.94,0.68    0.40,0.19,0.08,0.02,339,355
2017 359    86,77   28.1      5  1.343    794    887      7,958   1682,1682,1166,0.6,0.004,0,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,0.00,0.00,0,0,169.1,0.22,0.43,0.0,1.80,99,2.31,2.21    1.33,0.96,0.69    0.41,0.19,0.08,0.02,351,366
2017 360    87,78   28.3      5  1.353    800    895     10,964   1695,1724,881,1.1,0.006,28,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,35.12,0.02,0,28,169.1,0.22,0.43,0.0,1.80,100,2.32,2.22    1.33,0.96,0.70    0.41,0.19,0.08,0.02,360,377
2017 361    88,79   28.6      5  1.370    811    907     13,974   1718,1780,1074,1.2,0.007,62,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,21.48,0.03,0,62,168.9,0.22,0.44,0.0,1.80,101,2.34,2.24    1.35,0.97,0.71    0.42,0.20,0.08,0.02,374,389
2017 362    89,80   28.8      5  1.380    816    915     10,979   1731,1731,1299,0.8,0.006,0,8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,0.00,0.00,0,0,169.1,0.22,0.44,0.0,1.80,102,2.34,2.25    1.35,0.98,0.71    0.42,0.20,0.08,0.03,388,402
2017 363    90,81   29.0      5  1.388    823    924     13,986   1747,1777,1260,1.1,0.007,31,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.19,43.25,0.02,0,31,168.7,0.22,0.44,0.0,1.80,102,2.36,2.26    1.36,0.99,0.72    0.42,0.20,0.08,0.03,399,412
2017 364    91,82   29.2      5  1.410    840    942     16,1003   1782,1837,1472,1.1,0.009,55,8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.20,28.82,0.03,0,55,167.9,0.22,0.44,0.0,1.80,104,2.39,2.29    1.38,1.00,0.73    0.43,0.21,0.09,0.03,408,421
2017 365    92,83   29.3      5  1.434    860    962     19,1023   1822,1905,1689,1.1,0.010,83,9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.21,23.03,0.04,0,83,166.8,0.22,0.45,0.0,1.80,106,2.43,2.33    1.41,1.02,0.74    0.44,0.21,0.09,0.03,416,430
2018 001    93,84   29.5      5  1.434    860    962     19,1023   1822,1905,1689,1.1,0.010,83,9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.21,23.03,0.04,0,83,166.8,0.22,0.45,0.0,1.80,106,2.43,2.33    1.41,1.02,0.74    0.44,0.21,0.09,0.03,416,430
*DSSAT Cropping,"System Model Ver. 4.8.5.017 pre-release  JUN 25,",2025 16:42:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*RUN   2,: Brilliance                CRGRO048 UFBA1701,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL,: CRGRO048 - Strawberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPERIMENT,: UFBA1701 SR 2017 BALM STRAWBERRY VARIETY TRIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA PATH,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREATMENT  2,: Brilliance                CRGRO048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,,,,,,,,,,,,,,Root,Dens. (cm/cm3),by soil,depth (cm):,,,,,
!,,,,,,,,,,,,,,,,,,,,,,,,,,,0-5,5-15   15-30,30-45,45-60   60-90,90-120,120-150,150-180,,
