*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2014 334    61    52    35.2     0.2    33.5    4.59    3.37      0.0     0.0    19.7    13.8    4.22    2.62     3.3    2.0    2.0    3.29    2.97
 2014 335    62    53    35.3     0.1    34.4    4.56    3.37      0.0     0.0    20.3    14.2    4.22    2.61     3.2    2.0    1.7    4.32    3.11
 2014 336    63    54    36.1     0.1    35.0    4.55    3.35      0.0     0.0    20.6    14.4    4.20    2.60     3.3    2.0    1.3    4.45    3.27
 2014 337    64    55    37.2     0.2    35.8    4.56    3.35      0.0     0.0    21.1    14.7    4.20    2.59     3.3    2.0    1.6    4.60    3.43
 2014 338    65    56    38.0     0.1    36.8    4.56    3.35      0.0     0.0    21.8    15.1    4.20    2.59     3.3    2.0    2.0    5.24    3.59
 2014 339    66    57    39.2     0.2    37.6    4.56    3.34      0.0     0.0    22.3    15.4    4.20    2.58     3.3    2.0    1.8    5.38    3.76
 2014 340    67    58    40.5     0.2    38.5    4.58    3.34      0.0     0.0    22.8    15.7    4.19    2.58     3.3    2.0    1.9    5.52    3.93
 2014 341    68    59    41.2     0.3    38.7    4.56    3.33      0.0     0.0    22.9    15.8    4.18    2.57     3.3    2.0    1.0    5.65    4.09
 2014 342    69    60    40.1     0.2    38.5    4.54    3.31      0.0     0.0    22.9    15.7    4.17    2.55     3.3    2.0    0.4    6.90    4.22
 2014 343    70    61    42.2     0.2    40.3    4.54    3.35      0.0     0.0    23.9    16.3    4.21    2.58     3.3    2.0    2.8    7.00    4.34
 2014 344    71    62    44.1     0.2    41.9    4.54    3.36      0.0     0.0    24.9    17.0    4.22    2.59     3.3    2.0    2.6    7.06    4.43
 2014 345    72    63    45.3     0.2    43.6    4.55    3.37      0.0     0.0    26.0    17.6    4.22    2.59     3.3    2.0    2.6    7.68    4.53
 2014 346    73    64    46.3     0.2    44.4    4.55    3.37      0.0     0.0    26.5    17.9    4.22    2.60     3.3    2.0    1.4    7.76    4.62
 2014 347    74    65    48.3     0.2    46.1    4.55    3.38      0.0     0.0    27.5    18.6    4.23    2.60     3.3    2.0    2.7    7.83    4.73
 2014 348    75    66    50.2     0.3    47.7    4.55    3.38      0.0     0.0    28.5    19.2    4.23    2.61     3.3    2.0    2.7    7.95    4.85
 2014 349    76    67    51.5     0.2    49.3    4.55    3.39      0.0     0.0    29.5    19.8    4.23    2.61     3.3    2.0    2.6    8.55    4.97
 2014 350    77    68    53.3     0.3    50.7    4.55    3.39      0.0     0.0    30.4    20.3    4.23    2.61     3.3    2.0    2.6    8.69    5.12
 2014 351    78    69    54.9     0.4    51.8    4.54    3.38      0.0     0.0    31.1    20.7    4.23    2.61     3.3    2.0    2.2    8.85    5.29
 2014 352    79    70    56.1     0.3    53.5    4.54    3.39      0.0     0.0    32.1    21.4    4.23    2.61     3.3    2.0    2.8    9.66    5.43
 2014 353    80    71    57.9     0.4    54.8    4.53    3.39      0.0     0.0    33.0    21.9    4.23    2.61     3.3    2.0    2.6    9.81    5.60
 2014 354    81    72    59.7     0.5    55.9    4.53    3.38      0.0     0.0    33.6    22.3    4.22    2.61     3.3    2.0    2.4   10.01    5.81
 2014 355    82    73    58.6     0.3    55.9    4.54    3.37      0.0     0.0    33.6    22.3    4.21    2.59     3.3    2.0    1.3   11.89    6.04
 2014 356    83    74    59.5     0.4    56.0    4.56    3.36      0.0     0.0    33.6    22.3    4.20    2.58     3.3    2.0    1.3   12.11    6.30
 2014 357    84    75    60.6     0.6    56.1    4.58    3.35      0.0     0.0    33.8    22.4    4.20    2.57     3.3    2.0    1.5   12.32    6.56
 2014 358    85    76    58.9     0.3    55.8    4.59    3.33      0.0     0.0    33.5    22.2    4.18    2.55     3.3    2.0    0.9   14.59    6.81
 2014 359    86    77    60.2     0.4    56.4    4.57    3.34      0.0     0.0    33.9    22.5    4.19    2.56     3.3    2.0    1.9   14.78    6.99
 2014 360    87    78    61.4     0.5    56.8    4.56    3.33      0.0     0.0    34.1    22.6    4.19    2.55     3.3    2.0    1.6   14.92    7.18
 2014 361    88    79    62.9     0.7    56.9    4.56    3.32      0.0     0.0    34.2    22.7    4.18    2.54     3.3    1.9    1.9   15.16    7.42
 2014 362    89    80    64.7     0.9    57.4    4.56    3.32      0.0     0.0    34.5    22.9    4.18    2.54     3.3    1.9    2.4   15.42    7.66
 2014 363    90    81    63.0     0.6    57.7    4.56    3.32      0.0     0.0    34.7    23.0    4.18    2.53     3.3    1.9    2.2   18.51    7.89
 2014 364    91    82    63.0     0.8    56.7    4.55    3.29      0.0     0.0    34.1    22.6    4.15    2.50     3.3    1.9    0.0   18.72    8.12
 2014 365    92    83    63.5     1.0    56.3    4.54    3.28      0.0     0.0    33.8    22.5    4.15    2.49     3.2    1.9    0.7   18.91    8.33
 2015 001    93    84    65.1     1.3    56.2    4.54    3.28      0.0     0.0    33.7    22.4    4.16    2.49     3.3    1.9    1.9   19.12    8.54
 2015 002    94    85    60.6     0.6    55.9    4.56    3.27      0.0     0.0    33.6    22.3    4.15    2.48     3.3    1.9    2.0   24.52    8.78
 2015 003    95    86    62.5     0.9    56.0    4.60    3.26      0.0     0.0    33.6    22.4    4.15    2.47     3.3    1.9    2.3   24.73    9.02
 2015 004    96    87    64.7     1.2    56.2    4.61    3.26      0.0     0.0    33.8    22.5    4.15    2.47     3.3    1.9    2.6   24.94    9.26
 2015 005    97    88    62.5     0.8    56.3    4.58    3.25      0.0     0.0    33.8    22.5    4.15    2.46     3.3    1.9    2.2   28.44    9.46
 2015 006    98    89    64.7     1.0    57.0    4.56    3.26      0.0     0.0    34.2    22.8    4.15    2.46     3.3    1.9    2.8   28.66    9.67
 2015 007    99    90    67.4     1.2    58.8    4.56    3.27      0.0     0.0    35.4    23.5    4.17    2.47     3.3    1.9    3.6   28.77    9.82
 2015 008   100    91    66.7     0.7    60.8    4.57    3.29      0.0     0.0    36.6    24.2    4.18    2.49     3.3    1.9    3.3   31.57    9.93
 2015 009   101    92    68.5     0.8    62.0    4.56    3.29      0.0     0.0    37.3    24.7    4.18    2.49     3.3    1.9    2.4   31.65   10.06
 2015 010   102    93    70.8     0.9    63.7    4.56    3.30      0.0     0.0    38.3    25.4    4.19    2.50     3.3    1.9    3.2   31.82   10.20
 2015 011   103    94    72.7     1.2    64.0    4.55    3.29      0.0     0.0    38.5    25.5    4.18    2.49     3.3    1.9    2.3   32.06   10.42
 2015 012   104    95    67.7     0.6    62.9    4.56    3.26      0.0     0.0    37.9    25.1    4.16    2.46     3.3    1.9    0.6   36.95   10.69
 2015 013   105    96    69.8     0.8    63.6    4.56    3.28      0.0     0.0    38.3    25.3    4.18    2.47     3.3    1.9    2.8   37.23   10.93
 2015 014   106    97    70.5     1.0    62.7    4.55    3.25      0.0     0.0    37.7    25.0    4.16    2.45     3.3    1.9    0.8   37.53   11.14
 2015 015   107    98    67.4     0.6    62.2    4.54    3.25      0.0     0.0    37.4    24.8    4.16    2.44     3.3    1.9    0.7   40.85   11.31
 2015 016   108    99    70.3     0.8    64.0    4.53    3.27      0.0     0.0    38.5    25.5    4.18    2.46     3.3    1.9    3.8   40.99   11.48
 2015 017   109   100    73.0     0.9    65.6    4.53    3.28      0.0     0.0    39.5    26.1    4.19    2.47     3.3    1.9    3.5   41.15   11.66
 2015 018   110   101    75.4     1.2    66.3    4.53    3.27      0.0     0.0    39.9    26.4    4.19    2.46     3.3    1.9    3.0   41.35   11.86
 2015 019   111   102    74.2     0.7    68.2    4.52    3.29      0.0     0.0    41.1    27.2    4.21    2.48     3.3    1.9    4.0   45.12   12.04
 2015 020   112   103    75.5     0.9    68.3    4.52    3.28      0.0     0.0    41.1    27.2    4.20    2.47     3.3    1.9    1.6   45.28   12.24
 2015 021   113   104    78.2     1.1    69.2    4.52    3.29      0.0     0.0    41.7    27.6    4.21    2.47     3.3    1.9    3.4   45.51   12.46
 2015 022   114   105    75.9     0.7    69.4    4.53    3.28      0.0     0.0    41.7    27.6    4.21    2.47     3.3    1.9    3.1   49.93   12.71
 2015 023   115   106    77.8     1.0    68.8    4.54    3.27      0.0     0.0    41.4    27.4    4.19    2.45     3.3    1.9    2.1   50.24   12.98
 2015 024   116   107    80.1     1.3    69.5    4.54    3.28      0.0     0.0    41.8    27.7    4.20    2.46     3.3    1.9    3.1   50.46   13.18
 2015 025   117   108    83.4     1.5    71.6    4.54    3.30      0.0     0.0    43.1    28.5    4.22    2.47     3.3    1.9    4.2   50.61   13.32
 2015 026   118   109    80.8     0.9    72.7    4.53    3.30      0.0     0.0    43.7    28.9    4.22    2.47     3.3    1.9    3.7   55.57   13.51
 2015 027   119   110    84.1     1.0    74.9    4.54    3.31      0.0     0.0    45.1    29.8    4.24    2.49     3.3    1.9    4.2   55.68   13.66
 2015 028   120   111    87.3     1.2    77.1    4.54    3.32      0.0     0.0    46.5    30.7    4.25    2.50     3.3    1.9    4.3   55.90   13.82
 2015 029   121   112    88.2     1.0    78.8    4.54    3.33      0.0     0.0    47.5    31.3    4.25    2.50     3.3    1.9    4.0   57.99   14.00
 2015 030   122   113    91.1     1.2    80.4    4.54    3.33      0.0     0.0    48.4    31.9    4.26    2.51     3.3    2.0    3.8   58.33   14.19
 2015 031   123   114    94.2     1.5    81.8    4.53    3.34      0.0     0.0    49.3    32.5    4.26    2.51     3.3    2.0    4.0   58.63   14.41
 2015 032   124   115    97.5     1.9    82.7    4.53    3.34      0.0     0.0    49.9    32.8    4.26    2.51     3.3    2.0    4.1   59.00   14.65
 2015 033   125   116    91.6     1.0    82.2    4.52    3.33      0.0     0.0    49.5    32.7    4.26    2.50     3.3    1.9    2.4   66.12   14.91
 2015 034   126   117    94.6     1.2    84.0    4.53    3.34      0.0     0.0    50.7    33.4    4.27    2.51     3.3    2.0    4.4   66.43   15.08
 2015 035   127   118    97.1     1.6    83.7    4.52    3.33      0.0     0.0    50.4    33.3    4.26    2.50     3.3    1.9    3.0   66.88   15.35
 2015 036   128   119    92.4     1.2    82.6    4.52    3.31      0.0     0.0    49.7    32.8    4.24    2.48     3.3    1.9    1.0   71.93   15.60
 2015 037   129   120    95.7     1.4    84.2    4.52    3.32      0.0     0.0    50.7    33.5    4.25    2.49     3.3    1.9    5.3   72.17   15.81
 2015 038   130   121    99.2     1.8    85.5    4.52    3.32      0.0     0.0    51.5    34.0    4.25    2.49     3.3    1.9    4.4   72.42   16.04
 2015 039   131   122   102.5     2.2    86.1    4.51    3.31      0.0     0.0    51.9    34.2    4.25    2.49     3.3    1.9    4.3   72.74   16.28
 2015 040   132   123    95.6     1.5    84.8    4.51    3.29      0.0     0.0    51.1    33.8    4.23    2.46     3.3    1.9    0.6   79.37   16.55
 2015 041   133   124    98.7     1.8    85.9    4.52    3.29      0.0     0.0    51.7    34.2    4.23    2.46     3.3    1.9    5.8   79.54   16.76
 2015 042   134   125   102.4     2.2    87.3    4.52    3.29      0.0     0.0    52.6    34.7    4.23    2.46     3.3    1.9    4.8   79.78   16.97
 2015 043   135   126    98.9     1.4    88.7    4.52    3.29      0.0     0.0    53.4    35.3    4.23    2.46     3.3    1.9    4.8   85.86   17.15
 2015 044   136   127   102.3     1.6    91.0    4.53    3.29      0.0     0.0    54.8    36.2    4.23    2.47     3.3    1.9    4.9   85.95   17.29
 2015 045   137   128   105.6     1.8    93.0    4.54    3.30      0.0     0.0    56.0    36.9    4.22    2.47     3.3    1.9    4.5   86.20   17.44
 2015 046   138   129   109.1     2.2    94.0    4.54    3.29      0.0     0.0    56.6    37.4    4.22    2.47     3.3    1.9    4.5   86.56   17.68
 2015 047   139   130   105.9     1.6    93.8    4.53    3.28      0.0     0.0    56.5    37.3    4.21    2.46     3.3    1.9    4.0   92.32   17.95
 2015 048   140   131   108.6     2.2    92.6    4.53    3.27      0.0     0.0    55.8    36.9    4.20    2.45     3.3    1.9    3.0   92.73   18.26
 2015 049   141   132   112.0     2.5    94.4    4.53    3.27      0.0     0.0    56.8    37.5    4.20    2.45     3.3    1.9    5.6   93.05   18.45
 2015 050   142   133   110.0     1.6    97.0    4.53    3.28      0.0     0.0    58.5    38.6    4.20    2.46     3.3    1.9    4.6   97.34   18.54
 2015 051   143   134   112.8     1.8    98.9    4.54    3.28      0.0     0.0    59.6    39.3    4.20    2.46     3.3    1.9    3.7   97.41   18.65
 2015 052   144   135   116.0     2.1   100.0    4.54    3.28      0.0     0.0    60.3    39.7    4.20    2.46     3.3    1.9    4.2   97.89   18.88
 2015 053   145   136   118.9     2.7    98.8    4.54    3.26      0.0     0.0    59.5    39.3    4.18    2.44     3.3    1.9    3.5   98.68   19.21
 2015 054   146   137   111.4     1.6    97.5    4.55    3.25      0.0     0.0    58.7    38.8    4.17    2.43     3.3    1.9    4.0  108.19   19.55
 2015 055   147   138   114.1     2.3    96.0    4.55    3.23      0.0     0.0    57.8    38.3    4.16    2.41     3.3    1.9    3.1  108.85   19.91
 2015 056   148   139   115.7     2.9    94.5    4.55    3.21      0.0     0.0    56.8    37.7    4.15    2.40     3.3    1.8    2.0  109.42   20.25
 2015 057   149   140   105.1     1.6    93.1    4.54    3.20      0.0     0.0    55.9    37.2    4.13    2.38     3.3    1.8    1.9  119.89   20.55
 2015 058   150   141   106.4     2.0    92.1    4.53    3.19      0.0     0.0    55.3    36.8    4.13    2.37     3.3    1.8    1.6  120.12   20.77
 2015 059   151   142   106.3     2.7    91.0    4.53    3.17      0.0     0.0    54.6    36.4    4.11    2.36     3.2    1.8    0.0  120.37   21.03
 2015 060   152   143   108.9     3.2    89.6    4.55    3.15      0.0     0.0    53.7    35.9    4.10    2.34     3.2    1.8    5.2  120.67   21.35
 2015 061   153   144    98.6     1.6    88.3    4.60    3.14      0.0     0.0    52.9    35.4    4.09    2.33     3.2    1.8    3.6  132.20   21.67
 2015 062   154   145   101.7     2.2    87.8    4.60    3.12      0.0     0.0    52.5    35.2    4.07    2.32     3.3    1.8    4.0  132.58   21.96
 2015 063   155   146   105.2     2.8    87.1    4.61    3.11      0.0     0.0    52.1    35.0    4.06    2.30     3.3    1.7    4.2  132.99   22.25
 2015 064   156   147    95.4     1.2    86.2    4.62    3.09      0.0     0.0    51.6    34.7    4.05    2.29     3.3    1.7    3.8  143.97   22.55
 2015 065   157   148    98.0     1.6    86.4    4.61    3.08      0.0     0.0    51.7    34.8    4.04    2.28     3.3    1.7    3.7  144.27   22.81
 2015 066   158   149   100.7     1.9    86.8    4.59    3.08      0.0     0.0    51.9    34.9    4.03    2.28     3.3    1.7    3.7  144.61   23.06
 2015 067   159   150   104.2     2.3    86.8    4.58    3.07      0.0     0.0    51.8    34.9    4.02    2.27     3.3    1.7    4.5  145.01   23.33
 2015 068   160   151    95.7     0.8    86.7    4.58    3.05      0.0     0.0    51.7    34.9    4.01    2.26     3.3    1.7    4.4  155.30   23.61
 2015 069   161   152    98.8     1.2    87.0    4.61    3.05      0.0     0.0    51.9    35.1    4.00    2.25     3.3    1.7    4.3  155.78   23.89
 2015 070   162   153   101.5     1.7    86.5    4.63    3.03      0.0     0.0    51.6    34.9    3.99    2.24     3.3    1.7    3.4  156.18   24.18
 2015 071   163   154    99.2     1.3    86.3    4.68    3.02      0.0     0.0    51.5    34.9    3.98    2.23     3.3    1.7    4.4  161.32   24.47
 2015 072   164   155   102.4     1.8    86.3    4.68    3.01      0.0     0.0    51.5    34.9    3.97    2.22     3.3    1.7    4.4  161.86   24.76
 2015 073   165   156   105.8     2.4    86.0    4.68    3.00      0.0     0.0    51.2    34.8    3.96    2.21     3.3    1.7    4.4  162.45   25.04
 2015 074   166   157   109.4     3.0    85.7    4.67    2.99      0.0     0.0    51.0    34.7    3.95    2.20     3.3    1.7    4.8  163.03   25.32
 2015 075   167   158   100.2     1.6    85.6    4.65    2.98      0.0     0.0    50.9    34.7    3.94    2.19     3.3    1.7    5.0  174.47   25.59
 2015 076   168   159   104.1     2.1    86.0    4.64    2.97      0.0     0.0    51.2    34.9    3.93    2.18     3.3    1.7    5.3  174.92   25.86
 2015 077   169   160   107.7     2.7    85.9    4.65    2.96      0.0     0.0    51.1    34.9    3.92    2.17     3.3    1.7    4.6  175.38   26.13
 2015 078   170   161   100.4     1.7    85.6    4.65    2.95      0.0     0.0    50.8    34.8    3.91    2.16     3.2    1.6    4.4  184.93   26.41
 2015 079   171   162   104.2     2.2    86.0    4.64    2.94      0.0     0.0    51.0    34.9    3.90    2.16     3.3    1.6    5.2  185.39   26.68
 2015 080   172   163   108.0     2.8    86.0    4.63    2.93      0.0     0.0    51.1    35.0    3.89    2.15     3.3    1.6    5.0  185.88   26.94
 2015 081   173   164   111.7     3.4    85.9    4.63    2.92      0.0     0.0    50.9    34.9    3.88    2.14     3.2    1.6    4.7  186.35   27.20
 2015 082   174   165    97.4     1.4    84.6    4.61    2.90      0.0     0.0    50.1    34.5    3.87    2.13     3.2    1.6    2.6  200.59   27.49
 2015 083   175   166   100.9     2.0    84.0    4.61    2.89      0.0     0.0    49.7    34.3    3.86    2.12     3.2    1.6    4.6  200.99   27.76
 2015 084   176   167   104.7     2.7    83.4    4.61    2.87      0.0     0.0    49.4    34.1    3.84    2.10     3.3    1.6    4.7  201.41   28.02
 2015 085   177   168    99.0     2.0    82.8    4.63    2.86      0.0     0.0    48.9    33.8    3.83    2.09     3.2    1.6    4.7  209.85   28.27
 2015 086   178   169   101.3     2.6    81.6    4.62    2.84      0.0     0.0    48.2    33.4    3.82    2.08     3.2    1.6    2.4  210.16   28.53
 2015 087   179   170   105.7     3.1    83.2    4.60    2.85      0.0     0.0    49.2    34.0    3.82    2.08     3.2    1.6    6.7  210.34   28.71

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:19

*RUN   2        : Sensation                 CRGRO048 UFWM1401    2
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  2   : Sensation                 CRGRO048
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2014 282     9     0     4.4     0.0     4.4    0.00    3.57      0.0     0.0     2.2     2.2    4.40    3.01     0.0    2.3    0.0    0.00    0.02
 2014 283    10     1     4.4     0.0     4.4    0.00    3.56      0.0     0.0     2.2     2.2    4.40    3.01     0.0    2.3    0.0    0.00    0.03
 2014 284    11     2     4.5     0.0     4.5    0.00    3.52      0.0     0.0     2.1     2.4    4.39    2.99     0.0    2.3    0.4    0.01    0.05
 2014 285    12     3     4.7     0.0     4.7    0.00    3.48      0.0     0.0     2.1     2.5    4.38    2.97     0.0    2.3    0.3    0.02    0.07
 2014 286    13     4     4.8     0.0     4.8    0.00    3.44      0.0     0.0     2.1     2.7    4.37    2.95     0.0    2.2    0.3    0.03    0.08
