*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2014 303    30       0    6252   25584       7   25577   25568     9.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 304    31       0    6251   25585       7   25577   25567    10.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 305    32       0    6251   25585       8   25578   25566    11.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 306    33       0    6251   25586       8   25577   25566    11.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 307    34       0    6251   25586       9   25577   25565    12.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 308    35       0    6251   25587       9   25577   25564    13.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 309    36       0    6250   25588      10   25578   25564    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 310    37       0    6250   25589      11   25578   25563    15.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 311    38       0    6250   25591      12   25579   25562    16.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 312    39       0    6250   25592      13   25579   25561    17.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 313    40       0    6250   25594      14   25580   25561    18.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 314    41       0    6250   25596      16   25580   25560    20.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 315    42       0    6249   25598      17   25581   25559    21.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 316    43       0    6249   25599      18   25581   25559    22.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 317    44       0    6249   25601      19   25582   25558    24.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 318    45       0    6249   25603      21   25583   25557    25.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 319    46       0    6249   25605      22   25584   25557    27.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 320    47       0    6249   25608      23   25584   25556    28.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 321    48       0    6248   25611      25   25585   25555    30.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 322    49       0    6248   25614      27   25587   25554    32.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 323    50       0    6248   25616      28   25587   25554    33.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 324    51       0    6248   25617      29   25588   25553    34.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 325    52       0    6248   25618      30   25588   25553    35.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 326    53       0    6248   25622      32   25590   25552    37.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 327    54       0    6248   25626      34   25592   25551    40.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 328    55       0    6247   25630      37   25593   25551    42.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 329    56       0    6247   25634      39   25595   25550    45.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 330    57       0    6247   25639      42   25597   25549    48.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 331    58       0    6247   25642      43   25598   25548    49.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 332    59       0    6247   25644      45   25599   25548    51.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 333    60       0    6247   25646      46   25600   25547    52.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 334    61       0    6246   25649      48   25601   25546    54.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 335    62       0    6246   25653      50   25603   25546    57.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 336    63       0    6246   25658      53   25605   25545    60.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 337    64       0    6246   25664      57   25608   25544    63.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 338    65       0    6246   25670      60   25610   25544    66.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 339    66       0    6246   25676      63   25613   25543    69.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 340    67       0    6245   25682      67   25615   25542    73.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 341    68       0    6245   25688      70   25618   25541    76.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 342    69       0    6245   25694      74   25620   25541    79.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 343    70       0    6245   25699      77   25622   25540    82.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 344    71       0    6245   25703      79   25624   25539    84.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 345    72       0    6245   25706      81   25625   25539    86.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 346    73       0    6244   25709      82   25627   25538    88.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 347    74       0    6244   25712      84   25628   25537    90.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 348    75       0    6244   25715      86   25630   25537    92.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 349    76       0    6244   25720      88   25631   25536    95.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 350    77       0    6244   25723      90   25633   25536    97.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 351    78       0    6244   25729      93   25636   25535   100.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 352    79       0    6244   25735      97   25638   25535   103.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 353    80       0    6244   25741     100   25641   25534   106.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 354    81       0    6244   25747     104   25644   25534   109.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 355    82       0    6243   25755     108   25647   25533   114.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 356    83       0    6243   25765     114   25651   25533   118.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 357    84       0    6243   25775     119   25656   25532   123.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 358    85       0    6243   25784     124   25660   25531   128.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 359    86       0    6243   25795     130   25664   25530   134.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 360    87       0    6243   25802     135   25667   25530   137.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 361    88       0    6242   25809     139   25670   25529   141.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 362    89       0    6242   25819     145   25675   25528   146.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 363    90       0    6242   25829     150   25679   25527   151.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 364    91       0    6242   25839     156   25683   25527   156.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 365    92       0    6242   25848     161   25687   25526   161.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 001    93       0    6242   25857     166   25691   25525   165.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 002    94       0    6241   25866     171   25695   25525   170.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 003    95       0    6241   25875     177   25699   25524   175.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 004    96       0    6241   25885     182   25703   25523   180.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 005    97       0    6241   25895     187   25707   25522   185.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 006    98       0    6241   25903     192   25711   25522   189.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 007    99       0    6240   25912     197   25715   25521   193.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 008   100       0    6240   25918     200   25717   25520   197.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 009   101       0    6240   25922     203   25719   25519   199.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 010   102       0    6240   25926     205   25721   25519   202.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 011   103       0    6240   25932     209   25723   25518   205.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 012   104       0    6240   25942     214   25727   25518   209.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 013   105       0    6240   25953     221   25732   25517   215.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 014   106       0    6239   25964     227   25737   25517   220.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 015   107       0    6239   25975     234   25741   25516   224.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 016   108       0    6239   25981     238   25744   25515   228.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 017   109       0    6239   25988     242   25747   25515   232.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 018   110       0    6239   25995     245   25750   25514   235.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 019   111       0    6239   26004     250   25754   25513   240.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 020   112       0    6239   26011     255   25757   25513   243.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 021   113       0    6238   26019     259   25760   25512   247.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 022   114       0    6238   26029     264   25764   25512   252.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 023   115       0    6238   26040     271   25769   25511   257.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 024   116       0    6238   26053     279   25774   25510   263.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 025   117       0    6238   26061     284   25777   25510   267.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 026   118       0    6238   26067     287   25780   25509   270.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 027   119       0    6238   26075     292   25783   25508   274.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 028   120       0    6238   26081     295   25786   25508   277.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 029   121       0    6237   26088     299   25788   25507   281.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 030   122       0    6237   26095     303   25792   25507   284.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 031   123       0    6237   26104     309   25795   25506   288.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 032   124       0    6237   26114     315   25799   25506   293.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 033   125       0    6237   26126     323   25804   25505   298.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 034   126       0    6237   26138     330   25808   25505   303.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 035   127       0    6237   26147     336   25811   25504   307.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 036   128       0    6237   26161     345   25816   25504   312.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 037   129       0    6236   26172     351   25821   25503   317.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 038   130       0    6236   26181     356   25824   25502   322.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 039   131       0    6236   26191     362   25829   25502   326.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 040   132       0    6236   26202     369   25833   25501   331.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 041   133       0    6236   26215     377   25838   25501   337.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 042   134       0    6236   26223     381   25842   25500   341.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 043   135       0    6236   26232     387   25846   25500   346.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 044   136       0    6236   26240     391   25849   25499   350.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 045   137       0    6236   26245     393   25852   25499   353.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 046   138       0    6235   26252     398   25854   25498   356.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 047   139       0    6235   26264     405   25859   25498   361.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 048   140       0    6235   26278     414   25864   25497   366.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 049   141       0    6235   26293     423   25870   25497   373.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 050   142       0    6235   26302     429   25873   25496   377.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 051   143       0    6235   26304     430   25875   25496   379.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 052   144       0    6235   26308     432   25876   25495   381.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 053   145       0    6235   26321     440   25881   25495   386.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 054   146       0    6235   26341     454   25887   25494   393.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 055   147       0    6235   26360     466   25894   25494   400.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 056   148       0    6234   26380     479   25901   25493   408.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 057   149       0    6234   26399     491   25908   25492   415.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 058   150       0    6234   26413     499   25914   25492   422.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 059   151       0    6234   26423     505   25918   25491   427.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 060   152       0    6234   26435     511   25923   25490   433.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 061   153       0    6234   26449     519   25930   25490   440.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 062   154       0    6233   26463     527   25936   25489   447.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 063   155       0    6233   26478     536   25942   25488   454.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 064   156       0    6233   26493     545   25948   25488   460.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 065   157       0    6233   26507     552   25954   25487   467.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 066   158       0    6233   26519     560   25960   25486   473.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 067   159       0    6232   26532     567   25965   25485   479.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 068   160       0    6232   26546     576   25970   25485   485.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 069   161       0    6232   26562     585   25976   25484   492.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 070   162       0    6232   26577     595   25982   25483   498.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 071   163       0    6232   26592     604   25988   25483   505.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 072   164       0    6232   26607     613   25994   25482   512.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 073   165       0    6231   26624     623   26000   25481   519.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 074   166       0    6231   26641     634   26006   25480   526.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 075   167       0    6231   26658     646   26012   25480   532.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 076   168       0    6231   26673     656   26018   25479   539.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 077   169       0    6230   26689     665   26024   25478   545.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 078   170       0    6230   26704     675   26029   25477   552.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 079   171       0    6230   26720     684   26035   25476   558.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 080   172       0    6230   26735     694   26041   25476   565.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 081   173       0    6230   26751     704   26047   25475   571.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 082   174       0    6229   26766     713   26052   25474   578.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 083   175       0    6229   26783     724   26059   25473   585.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 084   176       0    6229   26798     733   26065   25473   592.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 085   177       0    6229   26813     742   26071   25472   598.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 086   178       0    6229   26827     751   26076   25471   604.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2015 087   179       0    6229   26840     758   26082   25471   611.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:19

*RUN   2        : Sensation                 CRGRO048 UFWM1401    2
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  2   : Sensation                 CRGRO048
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2014 273     0       0    6258   25593       0   25593   25593     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 274     1       0    6258   25592       0   25592   25592     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 275     2       0    6258   25591       0   25591   25591     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 276     3       0    6257   25590       0   25590   25590     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 277     4       0    6257   25589       0   25589   25589     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 278     5       0    6257   25588       0   25588   25588     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 279     6       0    6257   25587       0   25587   25587     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 280     7       0    6256   25587       0   25587   25587     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 281     8       0    6256   25586       0   25586   25586     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 282     9       0    6256   25585       0   25585   25585     0.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 283    10       0    6256   25585       0   25585   25584     0.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 284    11       0    6255   25584       0   25584   25583     0.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 285    12       0    6255   25584       0   25583   25582     0.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 286    13       0    6255   25583       1   25583   25582     1.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 287    14       0    6255   25583       1   25582   25581     1.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 288    15       0    6255   25583       1   25582   25580     1.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 289    16       0    6254   25583       1   25581   25579     2.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 290    17       0    6254   25582       2   25581   25578     2.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 291    18       0    6254   25582       2   25580   25577     3.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 292    19       0    6254   25582       2   25580   25576     3.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 293    20       0    6253   25582       3   25579   25576     3.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 294    21       0    6253   25582       3   25579   25575     4.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 295    22       0    6253   25582       3   25579   25574     4.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 296    23       0    6253   25582       4   25579   25573     5.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 297    24       0    6253   25582       4   25578   25572     6.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 298    25       0    6252   25583       4   25578   25572     6.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 299    26       0    6252   25583       5   25578   25571     7.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 300    27       0    6252   25583       5   25578   25570     7.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 301    28       0    6252   25583       6   25578   25569     8.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 302    29       0    6252   25584       6   25578   25569     9.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 303    30       0    6252   25584       7   25578   25568     9.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 304    31       0    6251   25585       7   25578   25567    10.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 305    32       0    6251   25586       8   25578   25566    11.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 306    33       0    6251   25586       9   25578   25566    12.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 307    34       0    6251   25587       9   25578   25565    12.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 308    35       0    6251   25587      10   25578   25564    13.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 309    36       0    6250   25589      11   25578   25564    14.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 310    37       0    6250   25590      12   25579   25563    15.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 311    38       0    6250   25592      13   25579   25562    17.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 312    39       0    6250   25594      14   25580   25561    18.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 313    40       0    6250   25595      15   25581   25561    19.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 314    41       0    6250   25597      16   25581   25560    21.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 315    42       0    6249   25599      18   25582   25559    22.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 316    43       0    6249   25602      19   25583   25559    24.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 317    44       0    6249   25604      20   25583   25558    25.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 318    45       0    6249   25606      22   25584   25557    27.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 319    46       0    6249   25608      23   25585   25557    28.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 320    47       0    6249   25611      25   25586   25556    30.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 321    48       0    6248   25614      27   25587   25555    32.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 322    49       0    6248   25618      29   25589   25554    34.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 323    50       0    6248   25620      30   25590   25554    36.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 324    51       0    6248   25621      31   25590   25553    37.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 325    52       0    6248   25623      32   25591   25553    38.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2014 326    53       0    6248   25627      34   25592   25552    40.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
