*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:17

*RUN   1        : Radiance                  CRGRO048 UFWM1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2014 359    86   40.57  10.18    0.67  40.35   6.40   6.02   4.46   4.31   5.06   4.73  16.52  14.18
 2014 360    87   40.85  10.04    0.67  40.65   6.41   6.03   4.47   4.32   5.55   5.19  18.25  14.84
 2014 361    88   40.21  12.27    0.79  39.33   6.41   6.03   4.47   4.31   5.75   5.38  23.06  19.99
 2014 362    89   39.64  14.24    0.89  37.81   6.39   6.00   4.46   4.30   5.72   5.34  23.16  19.45
 2014 363    90   40.22  13.66    0.87  38.78   6.38   5.99   4.47   4.30   5.74   5.36  22.78  19.11
 2014 364    91   42.11   4.25    0.29  42.11   6.37   5.98   4.46   4.30   5.71   5.33  19.02  17.78
 2014 365    92   42.31   5.45    0.37  42.31   6.36   5.97   4.44   4.28   5.15   4.81  16.99  16.02
 2015 001    93   42.09  10.81    0.71  41.81   6.35   5.96   4.44   4.28   5.94   5.54  20.04  17.40
 2015 002    94   41.59  12.36    0.80  40.84   6.34   5.95   4.44   4.28   5.69   5.31  22.95  20.01
 2015 003    95   41.05  13.55    0.86  39.64   6.32   5.94   4.43   4.27   5.49   5.12  25.14  22.50
 2015 004    96   40.65  15.23    0.94  38.48   6.30   5.91   4.43   4.27   5.49   5.12  24.89  21.68
 2015 005    97   42.13  12.84    0.83  41.40   6.29   5.90   4.43   4.27   5.85   5.45  20.37  17.29
 2015 006    98   41.24  15.01    0.94  39.48   6.28   5.89   4.43   4.26   5.72   5.33  21.94  17.52
 2015 007    99   40.82  17.61    1.09  38.12   6.30   5.90   4.43   4.27   4.88   4.54  16.72  12.73
 2015 008   100   41.11  15.79    0.99  38.66   6.36   5.95   4.45   4.29   3.39   3.15  13.06   9.14
 2015 009   101   43.29  12.62    0.82  42.84   6.44   6.03   4.47   4.30   4.05   3.77  13.48  10.86
 2015 010   102   41.64  16.13    1.01  39.62   6.49   6.08   4.47   4.30   4.40   4.09  15.38  11.15
 2015 011   103   42.75  14.36    0.91  41.64   6.55   6.13   4.49   4.31   5.98   5.57  21.77  17.04
 2015 012   104   44.50   7.44    0.49  44.50   6.55   6.13   4.47   4.30   5.97   5.55  21.95  19.60
 2015 013   105   43.09  14.28    0.91  42.10   6.54   6.12   4.45   4.28   5.99   5.57  21.58  18.45
 2015 014   106   44.82   7.51    0.50  44.82   6.53   6.11   4.48   4.30   5.39   5.01  17.29  15.81
 2015 015   107   44.85   5.18    0.34  44.85   6.53   6.11   4.46   4.28   4.33   4.02  13.80  12.66
 2015 016   108   42.14  17.38    1.07  40.03   6.52   6.11   4.45   4.28   5.24   4.87  16.94  13.41
 2015 017   109   41.97  18.26    1.13  39.51   6.57   6.15   4.48   4.31   5.60   5.21  18.86  13.71
 2015 018   110   43.12  16.39    1.02  41.62   6.61   6.19   4.49   4.31   5.78   5.37  18.43  15.03
 2015 019   111   42.05  19.57    1.20  39.37   6.63   6.20   4.49   4.31   5.39   5.01  17.84  13.12
 2015 020   112   45.79   9.96    0.65  45.76   6.69   6.25   4.51   4.33   5.63   5.23  17.97  13.79
 2015 021   113   42.84  17.57    1.08  40.85   6.69   6.25   4.51   4.32   6.10   5.67  21.89  16.89
 2015 022   114   43.07  17.41    1.06  41.17   6.70   6.26   4.52   4.33   6.05   5.63  22.62  18.16
 2015 023   115   45.18  14.09    0.90  44.57   6.71   6.26   4.51   4.33   6.08   5.65  22.40  19.73
 2015 024   116   45.02  15.23    0.96  44.29   6.69   6.25   4.50   4.31   5.54   5.14  17.48  13.75
 2015 025   117   42.58  19.45    1.19  40.00   6.71   6.26   4.51   4.32   4.26   3.95  14.90  10.53
 2015 026   118   43.05  19.43    1.17  40.86   6.78   6.33   4.53   4.34   5.13   4.77  15.77  13.20
 2015 027   119   42.73  19.85    1.21  40.18   6.83   6.37   4.53   4.34   4.40   4.09  15.21  10.67
 2015 028   120   42.78  20.80    1.26  40.16   6.90   6.44   4.55   4.36   4.44   4.13  14.42  10.72
 2015 029   121   42.92  20.64    1.26  40.39   6.99   6.51   4.57   4.37   5.19   4.82  17.51  12.07
 2015 030   122   43.70  19.27    1.18  41.72   7.04   6.56   4.57   4.37   5.36   4.98  17.41  12.32
 2015 031   123   43.25  20.84    1.26  40.92   7.07   6.59   4.58   4.38   5.79   5.38  18.18  13.18
 2015 032   124   43.23  21.44    1.30  40.89   7.11   6.62   4.59   4.38   6.60   6.13  20.25  15.35
 2015 033   125   47.30  14.67    0.93  46.93   7.14   6.64   4.59   4.39   6.66   6.18  20.21  15.58
 2015 034   126   43.64  20.11    1.23  41.60   7.13   6.64   4.58   4.38   4.71   4.37  15.84  10.90
 2015 035   127   46.03  17.75    1.10  45.03   7.18   6.69   4.60   4.39   6.71   6.23  20.24  16.15
 2015 036   128   48.36   8.46    0.54  48.36   7.19   6.69   4.58   4.37   6.25   5.80  18.34  14.93
 2015 037   129   43.12  22.76    1.36  40.94   7.18   6.68   4.57   4.36   5.52   5.12  16.39  12.70
 2015 038   130   43.21  22.77    1.37  41.10   7.23   6.73   4.58   4.37   6.16   5.72  18.45  13.80
 2015 039   131   43.48  22.15    1.33  41.51   7.26   6.76   4.58   4.37   6.70   6.22  20.11  15.01
 2015 040   132   48.86   7.71    0.49  48.86   7.29   6.78   4.58   4.37   6.64   6.16  19.36  15.94
 2015 041   133   43.29  23.00    1.37  41.34   7.28   6.78   4.56   4.35   5.43   5.04  15.87  12.44
 2015 042   134   43.07  23.86    1.43  41.11   7.32   6.82   4.56   4.35   5.67   5.26  16.90  12.61
 2015 043   135   43.27  22.72    1.37  41.41   7.37   6.86   4.56   4.35   5.00   4.64  16.06  11.15
 2015 044   136   43.13  22.41    1.35  41.29   7.42   6.90   4.56   4.35   3.87   3.59  12.59   8.99
 2015 045   137   43.16  22.14    1.36  41.38   7.51   6.98   4.56   4.35   4.02   3.73  13.97   9.23
 2015 046   138   43.48  23.47    1.41  41.79   7.58   7.05   4.57   4.34   6.31   5.85  18.92  13.35
 2015 047   139   45.39  21.55    1.29  44.01   7.61   7.08   4.56   4.34   7.04   6.52  19.87  15.08
 2015 048   140   48.29  18.09    1.10  47.71   7.62   7.08   4.55   4.33   7.00   6.48  21.43  17.47
 2015 049   141   43.11  24.83    1.46  41.51   7.61   7.08   4.53   4.31   4.88   4.52  13.78  10.98
 2015 050   142   43.07  20.38    1.25  41.52   7.68   7.15   4.53   4.31   2.56   2.37   9.37   6.37
 2015 051   143   43.17  18.09    1.20  41.68   7.77   7.23   4.54   4.32   2.39   2.21  11.66   6.41
 2015 052   144   45.28  22.46    1.34  43.93   7.84   7.30   4.54   4.32   6.00   5.55  18.40  12.45
 2015 053   145   46.60  21.31    1.26  45.48   7.87   7.32   4.54   4.31   7.07   6.54  22.93  18.33
 2015 054   146   44.97  22.97    1.35  43.61   7.86   7.31   4.52   4.30   7.07   6.53  22.88  19.11
 2015 055   147   48.43  19.92    1.20  47.76   7.85   7.31   4.51   4.28   7.25   6.70  21.05  19.07
 2015 056   148   50.40  14.60    0.89  50.38   7.83   7.30   4.49   4.26   7.06   6.52  22.75  19.46
 2015 057   149   50.55  12.70    0.78  50.55   7.82   7.29   4.47   4.25   7.29   6.72  19.87  16.78
 2015 058   150   50.54   9.73    0.60  50.54   7.81   7.29   4.45   4.23   5.48   5.05  14.59  13.23
 2015 059   151   50.52   3.82    0.23  50.52   7.80   7.28   4.44   4.22   6.46   5.96  17.37  15.22
 2015 060   152   46.38  21.73    1.27  45.27   7.80   7.28   4.42   4.21   6.71   6.19  25.70  22.04
 2015 061   153   47.19  21.10    1.24  46.25   7.79   7.28   4.40   4.19   6.74   6.21  25.26  21.92
 2015 062   154   45.91  22.42    1.30  44.77   7.77   7.27   4.38   4.17   6.76   6.23  24.94  20.76
 2015 063   155   44.65  23.44    1.35  43.40   7.77   7.26   4.37   4.16   6.66   6.13  25.78  21.07
 2015 064   156   46.59  21.92    1.27  45.58   7.76   7.26   4.35   4.14   6.70   6.17  25.30  21.60
 2015 065   157   48.24  20.59    1.21  47.60   7.75   7.25   4.34   4.13   6.83   6.28  23.94  19.12
 2015 066   158   49.20  20.09    1.20  48.82   7.75   7.25   4.33   4.12   7.15   6.56  19.75  15.90
 2015 067   159   44.85  24.55    1.41  43.67   7.76   7.26   4.32   4.11   6.95   6.37  22.85  18.79
 2015 068   160   44.89  24.28    1.39  43.72   7.76   7.26   4.31   4.10   6.77   6.21  24.49  19.90
 2015 069   161   44.44  24.27    1.38  43.27   7.76   7.26   4.30   4.09   6.55   6.00  26.56  22.50
 2015 070   162   48.70  20.49    1.19  48.11   7.76   7.25   4.29   4.08   6.48   5.93  27.16  23.26
 2015 071   163   44.75  24.29    1.38  43.60   7.74   7.24   4.28   4.06   6.49   5.93  26.88  23.83
 2015 072   164   44.84  24.73    1.40  43.70   7.74   7.23   4.26   4.05   6.57   6.00  26.06  22.55
 2015 073   165   45.09  24.61    1.39  43.97   7.73   7.22   4.25   4.04   6.50   5.92  26.64  22.88
 2015 074   166   44.29  25.97    1.47  43.19   7.72   7.21   4.24   4.03   6.61   6.02  25.40  21.53
 2015 075   167   43.61  26.78    1.51  42.59   7.72   7.21   4.23   4.02   6.52   5.93  26.24  21.63
 2015 076   168   43.31  27.98    1.58  42.36   7.72   7.21   4.22   4.01   6.66   6.06  24.78  20.83
 2015 077   169   44.86  25.75    1.45  43.78   7.73   7.22   4.21   4.00   6.47   5.88  26.63  22.58
 2015 078   170   46.94  24.57    1.39  45.94   7.72   7.21   4.20   3.99   6.56   5.95  25.73  21.85
 2015 079   171   44.12  27.47    1.54  43.12   7.72   7.21   4.19   3.97   6.61   5.99  25.11  20.98
 2015 080   172   44.94  26.72    1.49  43.89   7.72   7.21   4.18   3.96   6.54   5.92  25.73  21.00
 2015 081   173   46.79  25.64    1.44  45.78   7.73   7.22   4.17   3.95   6.62   5.99  25.01  20.63
 2015 082   174   52.14  16.67    0.97  52.15   7.73   7.22   4.16   3.94   6.81   6.15  23.09  20.76
 2015 083   175   49.38  23.92    1.36  48.75   7.72   7.21   4.14   3.92   6.69   6.05  23.96  20.71
 2015 084   176   48.05  25.02    1.40  47.16   7.71   7.21   4.12   3.91   6.52   5.88  25.48  21.41
 2015 085   177   47.64  25.22    1.40  46.70   7.71   7.20   4.11   3.90   6.40   5.77  26.45  22.10
 2015 086   178   52.25  15.39    0.89  52.25   7.71   7.20   4.09   3.88   6.71   6.05  23.26  19.75
 2015 087   179   44.57  29.96    1.67  43.55   7.70   7.20   4.07   3.86   6.18   5.57  17.43  13.85

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 04:27:19

*RUN   2        : Sensation                 CRGRO048 UFWM1401    2
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFWM1401 SR 2014 WIMAUMA STRAWBERRY GROWTH AND YIELD ANALYSIS
 DATA PATH      :
 TREATMENT  2   : Sensation                 CRGRO048
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2014 274     1    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  27.53  24.96
 2014 275     2    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.74  25.40
 2014 276     3    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  28.43  25.10
 2014 277     4    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  25.11  21.15
 2014 278     5    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  21.83  17.74
 2014 279     6    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  23.83  19.35
 2014 280     7    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  25.99  22.64
 2014 281     8    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  27.67  23.90
 2014 282     9    0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  27.20  23.50
 2014 283    10    0.28   0.16    0.01   0.25   7.29   7.27   4.59   4.58   7.23   7.21  27.39  23.32
 2014 284    11    3.69   1.91    0.10   3.26   7.27   7.25   4.58   4.57   7.15   7.14  27.87  23.76
 2014 285    12    3.88   1.95    0.10   3.44   7.25   7.23   4.57   4.56   7.19   7.17  27.43  23.47
 2014 286    13    4.05   1.98    0.10   3.61   7.23   7.21   4.56   4.55   7.16   7.14  27.52  23.73
 2014 287    14    5.06   0.97    0.06   5.06   7.21   7.20   4.54   4.53   7.34   7.32  25.91  23.65
 2014 288    15    4.64   1.91    0.11   4.33   7.18   7.16   4.53   4.52   7.53   7.51  23.98  20.17
 2014 289    16    4.44   2.28    0.12   3.90   7.17   7.15   4.52   4.51   7.63   7.61  22.96  19.11
 2014 290    17    4.51   2.36    0.12   3.92   7.15   7.13   4.50   4.49   7.59   7.57  23.15  18.37
 2014 291    18    4.60   2.35    0.12   4.01   7.14   7.13   4.49   4.48   7.55   7.53  23.46  18.34
 2014 292    19    4.79   2.25    0.12   4.24   7.13   7.11   4.48   4.47   7.43   7.41  24.36  19.62
 2014 293    20    5.01   2.13    0.12   4.53   7.10   7.08   4.46   4.46   7.33   7.31  24.90  20.44
 2014 294    21    6.03   1.63    0.10   5.96   6.97   6.95   4.46   4.45   7.17   7.14  25.17  22.17
 2014 295    22    5.84   2.52    0.14   5.21   6.75   6.72   4.45   4.44   6.88   6.85  25.73  22.11
 2014 296    23    6.30   3.03    0.16   5.48   6.59   6.57   4.46   4.45   6.91   6.89  23.94  19.97
 2014 297    24    6.93   3.29    0.17   6.00   6.52   6.49   4.46   4.45   6.92   6.89  23.05  19.12
 2014 298    25    7.48   3.67    0.19   6.44   6.47   6.44   4.46   4.44   6.91   6.88  22.63  18.50
 2014 299    26    8.05   3.96    0.21   6.94   6.45   6.42   4.46   4.44   6.84   6.81  22.95  17.07
 2014 300    27    8.79   4.21    0.23   7.88   6.49   6.46   4.46   4.45   6.81   6.77  23.93  18.56
 2014 301    28    9.40   4.33    0.24   8.49   6.50   6.46   4.46   4.44   6.72   6.68  24.89  20.01
 2014 302    29   10.23   3.93    0.23   9.65   6.47   6.42   4.46   4.44   6.64   6.60  25.27  20.74
 2014 303    30   11.07   3.83    0.23  10.71   6.38   6.34   4.45   4.43   6.60   6.55  24.87  20.89
 2014 304    31   11.41   5.43    0.30  10.29   6.27   6.22   4.44   4.42   6.80   6.74  21.69  19.19
 2014 305    32   12.29   5.84    0.33  11.09   6.18   6.12   4.45   4.43   5.32   5.27  15.27  12.40
 2014 306    33   12.89   6.15    0.35  11.53   6.34   6.28   4.46   4.44   5.22   5.17  15.92  11.37
 2014 307    34   13.50   6.29    0.36  12.22   6.47   6.40   4.47   4.44   6.41   6.35  18.70  13.44
 2014 308    35   14.26   5.98    0.35  13.28   6.53   6.46   4.47   4.44   7.03   6.95  22.09  17.34
 2014 309    36   14.97   6.13    0.36  13.97   6.51   6.44   4.46   4.43   6.83   6.75  23.88  20.20
 2014 310    37   16.05   5.77    0.35  15.40   6.41   6.33   4.45   4.42   6.64   6.55  24.74  20.82
 2014 311    38   16.55   7.45    0.43  15.11   6.31   6.23   4.45   4.41   6.83   6.73  21.84  17.58
 2014 312    39   17.86   6.16    0.38  17.38   6.32   6.22   4.45   4.41   6.90   6.79  21.17  16.64
 2014 313    40   19.21   4.12    0.26  19.21   6.30   6.20   4.45   4.40   6.29   6.18  17.71  15.67
 2014 314    41   18.58   8.72    0.50  16.77   6.26   6.16   4.43   4.38   6.83   6.71  21.24  17.53
 2014 315    42   19.43   9.21    0.53  17.51   6.27   6.16   4.45   4.41   6.89   6.76  20.73  17.03
 2014 316    43   20.31   9.81    0.56  18.20   6.28   6.17   4.45   4.40   6.82   6.68  21.60  16.68
 2014 317    44   21.10   9.65    0.56  19.08   6.32   6.20   4.46   4.40   6.69   6.55  22.04  16.00
 2014 318    45   22.95   6.26    0.40  22.80   6.36   6.23   4.46   4.41   6.58   6.44  18.45  14.99
 2014 319    46   22.43  10.18    0.60  20.38   6.34   6.20   4.45   4.39   6.93   6.77  19.84  15.03
 2014 320    47   23.16   9.54    0.56  21.47   6.37   6.23   4.46   4.40   6.74   6.58  23.38  18.64
 2014 321    48   25.08   5.46    0.35  25.04   6.36   6.21   4.45   4.39   6.65   6.48  24.12  20.46
 2014 322    49   25.65   3.44    0.22  25.65   6.29   6.14   4.43   4.37   5.42   5.28  16.09  11.89
 2014 323    50   25.02   8.78    0.55  24.06   6.28   6.13   4.43   4.37   4.07   3.96  13.24   9.32
 2014 324    51   25.30   9.80    0.60  23.88   6.36   6.20   4.46   4.39   5.25   5.11  15.60  11.44
 2014 325    52   26.02   9.22    0.58  25.10   6.42   6.25   4.46   4.39   7.02   6.83  19.65  15.77
 2014 326    53   27.42   6.18    0.40  27.36   6.41   6.24   4.45   4.38   7.02   6.81  21.01  19.06
 2014 327    54   27.03   8.86    0.55  26.12   6.33   6.15   4.43   4.35   6.46   6.26  25.70  23.07
 2014 328    55   27.72   8.88    0.56  26.89   6.27   6.08   4.43   4.36   6.40   6.20  25.60  23.14
